hunt_code,rollup_bucket,rollup_boundary_confirmed,rollup_permit_conflict,database_presence,database_boundary_id,database_family_match,database_permit_allotment_res,database_permit_allotment_nr,database_permit_allotment_total,database_permit_allotment_source,database_permit_allotment_status,database_has_current_allotment_total,database_total_matches_recommended_total,recommended_total,database_total,discrepancy_status,next_status,notes
MA1005,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,117,NO:hunt_type,6.0,1.0,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,7,7,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
MA1007,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,117,NO:hunt_type,3.0,0.0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,3,3,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
MA1008,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,937,NO:hunt_type,4.0,1.0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,5,5,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
PD1000,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,27,YES,72.0,8.0,80,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,80,80,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
PD1012,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,24,YES,22.0,3.0,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,25,25,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
PD1016,MANUAL_REMAP_REQUIRED,false,true,PRESENT,537,YES,4.0,0.0,4,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,true,true,4,4,PERMIT_VALUE_CONFLICT,MANUAL_REMAP_REQUIRED,Crosswalk rollup still requires manual remap. Current permit evidence has conflicting totals.
PD1017,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,755,YES,49.0,6.0,55,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,55,55,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
PD1026,MANUAL_REMAP_REQUIRED,false,true,PRESENT,826,YES,4.0,0.0,4,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,true,true,4,4,PERMIT_VALUE_CONFLICT,MANUAL_REMAP_REQUIRED,Crosswalk rollup still requires manual remap. Current permit evidence has conflicting totals.
PD1044,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,895,YES,9.0,1.0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,10,10,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
PD1056,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,703,YES,36.0,4.0,40,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,40,40,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
PD1057,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,873,YES,31.0,4.0,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,35,35,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
PD1059,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,940,YES,27.0,3.0,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,30,30,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
BR7307,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,684,YES,,,4,Utah DWR 2025-2027 Conservation Permit Database,TOTAL_ONLY,true,false,,4,,DATABASE_IDENTITY_READY,
BR7324,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,610,YES,,,1,,,true,false,,1,,DATABASE_IDENTITY_READY,
DB1056,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,7,YES,,,4,,,true,false,,4,,DATABASE_IDENTITY_READY,
DB1075,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,7,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
DB1076,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,7,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
DB1118,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,108,YES,,,1,,,true,false,,1,,DATABASE_IDENTITY_READY,
EA1220,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5112,YES,,,3,2026_EXPO_PERMITS_HARD_COPY,HARD_COPY_EXPO_TOTAL_ONLY,true,false,,3,,DATABASE_IDENTITY_READY,
EA1221,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5145,YES,,,1,2026_EXPO_PERMITS_HARD_COPY,HARD_COPY_EXPO_TOTAL_ONLY,true,false,,1,,DATABASE_IDENTITY_READY,
EA1258,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5113,YES,,,1,2026_EXPO_PERMITS_HARD_COPY,HARD_COPY_EXPO_TOTAL_ONLY,true,false,,1,,DATABASE_IDENTITY_READY,
EB1001,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5120,YES,,,10,,,true,false,,10,,DATABASE_IDENTITY_READY,
EB1002,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5121,YES,,,6,,,true,false,,6,,DATABASE_IDENTITY_READY,
EB1003,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5122,YES,,,16,,,true,false,,16,,DATABASE_IDENTITY_READY,
EB1004,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5123,YES,,,6,,,true,false,,6,,DATABASE_IDENTITY_READY,
EB1005,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5124,YES,,,16,,,true,false,,16,,DATABASE_IDENTITY_READY,
EB1010,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5127,YES,,,17,,,true,false,,17,,DATABASE_IDENTITY_READY,
LO1531,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,607,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1534,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,616,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1536,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,804,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1538,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,611,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1540,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,629,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1541,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,630,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1542,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,615,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1544,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,609,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1547,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,636,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1549,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,633,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1559,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,635,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1591,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,804,YES,,,1,,,true,false,,1,,DATABASE_IDENTITY_READY,
LO1592,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,611,YES,,,1,,,true,false,,1,,DATABASE_IDENTITY_READY,
LO1593,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,615,YES,,,1,,,true,false,,1,,DATABASE_IDENTITY_READY,
LO1595,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,636,YES,,,1,,,true,false,,1,,DATABASE_IDENTITY_READY,
LO1596,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,633,YES,,,1,,,true,false,,1,,DATABASE_IDENTITY_READY,
LO1597,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,635,YES,,,1,,,true,false,,1,,DATABASE_IDENTITY_READY,
LO1627,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,29,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1628,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,29,YES,,,2,,,true,false,,2,,DATABASE_IDENTITY_READY,
LO1631,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,607,YES,,,1,,,true,false,,1,,DATABASE_IDENTITY_READY,
TK1012,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,887,YES,,,8,,,true,false,,8,,DATABASE_IDENTITY_READY,
TK1013,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,886,YES,,,8,,,true,false,,8,,DATABASE_IDENTITY_READY,
TK1014,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,888,YES,,,8,,,true,false,,8,,DATABASE_IDENTITY_READY,
TK1015,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,884,YES,,,8,,,true,false,,8,,DATABASE_IDENTITY_READY,
TK1016,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,885,YES,,,8,,,true,false,,8,,DATABASE_IDENTITY_READY,
BR1001,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5002,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
BR1007,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5003,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
BR1018,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5013,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
BR7019,MANUAL_REMAP_REQUIRED,false,false,PRESENT,610,YES,,,,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,false,,,,,MANUAL_REMAP_REQUIRED,Crosswalk rollup still requires manual remap. DATABASE row exists but current allotment total is blank.
DB0001,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,866,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0002,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,866,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0003,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,866,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0004,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,865,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0005,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,865,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0006,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,865,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0009,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,1,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0010,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,865,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0011,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,865,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0012,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,865,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
DB0013,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,865,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
EA2000,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5116,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
EB1009,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5126,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
EB1011,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,5128,YES,,,,,,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
EL3000,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,685,NO:hunt_name,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,NO_QUOTA_PUBLISHED,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
EL3002,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,12,NO:hunt_name,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,NO_QUOTA_PUBLISHED,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
EL3003,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,33,NO:hunt_name,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,NO_QUOTA_PUBLISHED,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
EL3005,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,PRESENT,41,NO:hunt_name,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,NO_QUOTA_PUBLISHED,false,,,,,DATABASE_IDENTITY_READY,DATABASE row exists but current allotment total is blank.
