hunt_code,hunt_name,species_x,sex_type_x,weapon_x,hunt_type_x,season_x,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,split_bucket,matching_non_database_sources,matching_source_count,matching_res,matching_nr,matching_total,split_review_note,remaining_unresolved_bucket,remaining_review_required,current_hunt_code,current_prefix,current_hunt_name,species_y,sex_type_y,weapon_y,hunt_type_y,season_y,relationship_type,crosswalk_status,mapping_confidence,mapping_method,data_quality_grade,historical_hunt_code,historical_prefix,historical_years,candidate_historical_codes,recommended_model_behavior,crosswalk_present,crosswalk_bucket
BI6503,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Oct 28 2026 - Nov 8 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,4.0,2.0,6.0,4.0,2.0,6.0,3.0,2.0,5.0,,,,4.0,2.0,6.0,4.0,2.0,6.0,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,4.0,2.0,6.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
BI6505,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Dec 9 2026 - Dec 20 2026,HANUMBER|UTAHDRAWS|DATABASE,8.0,3.0,11.0,,,,8.0,2.0,10.0,,,,8.0,3.0,11.0,8.0,3.0,11.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,DATABASE_ONLY,SOURCE_AND_DATABASE,,RAC_CURRENT_YEAR_SPLIT,true_source_conflicts,HANUMBER,1,8.0,3.0,11.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
BI6531,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Sept 21 2026 - Oct 02 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,10.0,0.0,10.0,10.0,0.0,10.0,9.0,0.0,9.0,,,,10.0,0.0,10.0,10.0,0.0,10.0,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,10.0,0.0,10.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
BI6536,"Book Cliffs, Bitter Creek",Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Nov 14 2026 - Nov 29 2026,HANUMBER|UTAHDRAWS|DATABASE,15.0,0.0,15.0,,,,14.0,0.0,14.0,,,,15.0,0.0,15.0,15.0,0.0,15.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,DATABASE_ONLY,SOURCE_AND_DATABASE,,RAC_CURRENT_YEAR_SPLIT,true_source_conflicts,HANUMBER,1,15.0,0.0,15.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,,,25.0,,,20.0,,,,,,,,,25.0,,,25.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER,1,,,25.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
DA1018,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,,,20.0,,,15.0,,,,,,,,,20.0,,,20.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER,1,,,20.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
DA1033,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,Aug 01 2025 - Sep 14 2025,HANUMBER|HUNTTABLE|DATABASE,,,5.0,,,10.0,,,,,,,,,5.0,,,5.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER,1,,,5.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
DB0008,Extended Archery Deer,Deer,Hunters Choice,Archery,Extended Archery,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,,2000.0,,,2000.0,1781.0,197.0,2016.0,,,,,,2000.0,,,2000.0,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER|HUNTTABLE,2,,,2000.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
DS6601,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,10.0,3.0,13.0,10.0,3.0,13.0,9.0,3.0,12.0,,,,10.0,3.0,13.0,10.0,3.0,13.0,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,10.0,3.0,13.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
DS6609,"San Rafael, North",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,8.0,0.0,8.0,8.0,0.0,8.0,7.0,0.0,7.0,,,,8.0,0.0,8.0,8.0,0.0,8.0,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,8.0,0.0,8.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1010,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,18.0,2.0,20.0,31.0,4.0,35.0,,,,,,,18.0,2.0,20.0,18.0,2.0,20.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,31.0,4.0,35.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1011,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Dec 31 2025,HANUMBER|HUNTTABLE|DATABASE,9.0,1.0,10.0,18.0,2.0,20.0,,,,,,,9.0,1.0,10.0,9.0,1.0,10.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,9.0,1.0,10.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1021,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,HANUMBER|HUNTTABLE|DATABASE,207.0,23.0,230.0,252.0,28.0,280.0,,,,,,,207.0,23.0,230.0,207.0,23.0,230.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,252.0,28.0,280.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1033,Kamas,Elk,Antlerless,Any Legal Weapon,General Season,Nov 08 2025 - Jan 18 2026,HANUMBER|HUNTTABLE|DATABASE,112.0,13.0,125.0,90.0,10.0,100.0,,,,,,,112.0,13.0,125.0,112.0,13.0,125.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90.0,10.0,100.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1035,"Kamas, Oakley",Elk,Antlerless,Any Legal Weapon,General Season,Nov 08 2025 - Dec 31 2025,HANUMBER|HUNTTABLE|DATABASE,112.0,13.0,125.0,90.0,10.0,100.0,,,,,,,112.0,13.0,125.0,112.0,13.0,125.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90.0,10.0,100.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
