hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,split_bucket,matching_non_database_sources,matching_source_count,matching_res,matching_nr,matching_total,split_review_note,resolution_status,resolved_res,resolved_nr,resolved_total,resolved_source_rule,remaining_review_required
DB1001,Paunsaugunt,Deer,Buck,Archery,Premium Limited Entry,Aug 15 2026 - Sept 11 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,26,3,29,26,3,29,25,3,28,26,3,29,26,3,29,26,3,29,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,26,3,29,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,26,3,29,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
DB1003,Henry Mtns,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Oct 17 2026 - Oct 25 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,24,3,27,24,3,27,23,3,26,24,3,27,24,3,27,24,3,27,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,24,3,27,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,24,3,27,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
DB1004,Paunsaugunt,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Oct 17 2026 - Oct 31 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,75,8,83,75,8,83,73,7,80,75,8,83,75,8,83,75,8,83,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,75,8,83,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,75,8,83,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
DB1006,Paunsaugunt,Deer,Buck,Muzzleloader,Premium Limited Entry,Sept 23 2026 - Oct 01 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,26,3,29,26,3,29,25,3,28,26,3,29,26,3,29,26,3,29,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,26,3,29,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,26,3,29,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
DB1010,Paunsaugunt,Deer,Buck,Any Legal Weapon,Management Buck Deer,Nov 02 2026 - Nov 20 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,30,3,33,30,3,33,29,3,32,30,3,33,30,3,33,30,3,33,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,30,3,33,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,30,3,33,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
DB1011,Book Cliffs,Deer,Buck,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,55,6,61,55,6,61,54,5,59,55,6,61,55,6,61,55,6,61,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,55,6,61,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,55,6,61,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
DB1015,Diamond Mtn,Deer,Buck,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,22,2,24,22,2,24,21,2,23,22,2,24,22,2,24,22,2,24,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,22,2,24,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,22,2,24,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
DB1016,"West Desert, Vernon",Deer,Buck,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,46,5,51,46,5,51,44,4,48,46,5,51,46,5,51,46,5,51,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,46,5,51,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,46,5,51,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
DB1017,"Book Cliffs, North",Deer,Buck,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,137,15,152,137,15,152,134,14,148,137,15,152,137,15,152,137,15,152,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,137,15,152,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,137,15,152,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
DB1018,"Book Cliffs, South",Deer,Buck,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,34,4,38,34,4,38,32,3,35,34,4,38,34,4,38,34,4,38,HANUMBER,REVIEW_SOURCE_CONFLICT,3,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,strong_3_source_current_matches,HANUMBER|HUNTTABLE|BUCK_DEER,3,34,4,38,Three or more non-database current sources match; unresolved only because another source conflicts.,RESOLVED_BY_3_SOURCE_CURRENT_MATCH_RULE,34,4,38,At least three non-database current sources match exactly; conflicting UtahDraws/BIBLE value remains audit evidence but does not keep the row in unresolved current-permit review.,false
