hunt_code,database_boundary_id,resolved_boundary_id,boundary_resolution_status,can_close_identity_boundary,database_status,display_boundary_id,hunt_boundary_crosswalk_id,split_index_boundary_id,direct_hunt_code_geojson,direct_boundary_id_geojson,confirmed_boundary_ids_from_evidence,candidate_boundary_ids_from_evidence,boundary_source_count,boundary_sources,notes
BI6505,94,94,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,94,94,94,true,false,94,94,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
BI6536,667,667,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,667,667,667,true,false,667,667,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
DA1009,169,169,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,169,169,169,true,false,169,169,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
DA1018,840,840,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,840,840,840,true,false,840,840,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
DA1033,23,23,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,23,23,23,true,false,23,23,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1010,38,38,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,38,38,38,true,false,38,38,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1011,39,39,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,39,39,39,true,false,39,39,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1021,616,616,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,616,616,616,true,false,616,616,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1033,611,611,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,611,611,611,true,false,611,611,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1035,104,104,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,104,104,104,true,false,104,104,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1054,132,132,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,132,132,132,true,false,132,132,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
