hunt_code,residency,points
CG1013,Nonresident,0
CG1013,Nonresident,1
CG1013,Nonresident,10
CG1013,Nonresident,11
CG1013,Nonresident,12
CG1013,Nonresident,13
CG1013,Nonresident,14
CG1013,Nonresident,15
CG1013,Nonresident,16
CG1013,Nonresident,17
CG1013,Nonresident,18
CG1013,Nonresident,19
CG1013,Nonresident,2
CG1013,Nonresident,3
CG1013,Nonresident,4
CG1013,Nonresident,5
CG1013,Nonresident,6
CG1013,Nonresident,7
CG1013,Nonresident,8
CG1013,Nonresident,9
CG1013,Resident,0
CG1013,Resident,1
CG1013,Resident,10
CG1013,Resident,11
CG1013,Resident,12
CG1013,Resident,13
CG1013,Resident,14
CG1013,Resident,15
CG1013,Resident,16
CG1013,Resident,17
CG1013,Resident,18
CG1013,Resident,19
CG1013,Resident,2
CG1013,Resident,3
CG1013,Resident,4
CG1013,Resident,5
CG1013,Resident,6
CG1013,Resident,7
CG1013,Resident,8
CG1013,Resident,9
CG1029,Nonresident,0
CG1029,Nonresident,1
CG1029,Nonresident,10
CG1029,Nonresident,11
CG1029,Nonresident,12
CG1029,Nonresident,13
CG1029,Nonresident,14
CG1029,Nonresident,15
CG1029,Nonresident,16
CG1029,Nonresident,17
CG1029,Nonresident,18
CG1029,Nonresident,19
CG1029,Nonresident,2
CG1029,Nonresident,3
CG1029,Nonresident,4
CG1029,Nonresident,5
CG1029,Nonresident,6
CG1029,Nonresident,7
CG1029,Nonresident,8
CG1029,Nonresident,9
CG1029,Resident,0
CG1029,Resident,1
CG1029,Resident,10
CG1029,Resident,11
CG1029,Resident,12
CG1029,Resident,13
CG1029,Resident,14
CG1029,Resident,15
CG1029,Resident,16
CG1029,Resident,17
CG1029,Resident,18
CG1029,Resident,19
CG1029,Resident,2
CG1029,Resident,3
CG1029,Resident,4
CG1029,Resident,5
CG1029,Resident,6
CG1029,Resident,7
CG1029,Resident,8
CG1029,Resident,9
CG1030,Nonresident,0
CG1030,Nonresident,1
CG1030,Nonresident,10
CG1030,Nonresident,11
CG1030,Nonresident,12
CG1030,Nonresident,13
CG1030,Nonresident,14
CG1030,Nonresident,15
CG1030,Nonresident,16
CG1030,Nonresident,17
CG1030,Nonresident,18
CG1030,Nonresident,19
CG1030,Nonresident,2
CG1030,Nonresident,3
CG1030,Nonresident,4
CG1030,Nonresident,5
CG1030,Nonresident,6
CG1030,Nonresident,7
CG1030,Nonresident,8
CG1030,Nonresident,9
CG1030,Resident,0
CG1030,Resident,1
CG1030,Resident,10
CG1030,Resident,11
CG1030,Resident,12
CG1030,Resident,13
CG1030,Resident,14
CG1030,Resident,15
CG1030,Resident,16
CG1030,Resident,17
CG1030,Resident,18
CG1030,Resident,19
CG1030,Resident,2
CG1030,Resident,3
CG1030,Resident,4
CG1030,Resident,5
CG1030,Resident,6
CG1030,Resident,7
CG1030,Resident,8
CG1030,Resident,9
CG1034,Nonresident,0
CG1034,Nonresident,1
CG1034,Nonresident,10
CG1034,Nonresident,11
CG1034,Nonresident,12
CG1034,Nonresident,13
CG1034,Nonresident,14
CG1034,Nonresident,15
CG1034,Nonresident,16
CG1034,Nonresident,17
CG1034,Nonresident,18
CG1034,Nonresident,19
CG1034,Nonresident,2
CG1034,Nonresident,3
CG1034,Nonresident,4
CG1034,Nonresident,5
CG1034,Nonresident,6
CG1034,Nonresident,7
CG1034,Nonresident,8
CG1034,Nonresident,9
CG1034,Resident,0
CG1034,Resident,1
CG1034,Resident,10
CG1034,Resident,11
CG1034,Resident,12
CG1034,Resident,13
CG1034,Resident,14
CG1034,Resident,15
CG1034,Resident,16
CG1034,Resident,17
CG1034,Resident,18
CG1034,Resident,19
CG1034,Resident,2
CG1034,Resident,3
CG1034,Resident,4
CG1034,Resident,5
CG1034,Resident,6
CG1034,Resident,7
CG1034,Resident,8
CG1034,Resident,9
CG7500,Nonresident,0
CG7500,Nonresident,1
CG7500,Nonresident,10
CG7500,Nonresident,11
CG7500,Nonresident,12
CG7500,Nonresident,13
CG7500,Nonresident,14
CG7500,Nonresident,15
CG7500,Nonresident,16
CG7500,Nonresident,17
CG7500,Nonresident,18
CG7500,Nonresident,19
CG7500,Nonresident,2
CG7500,Nonresident,3
CG7500,Nonresident,4
CG7500,Nonresident,5
CG7500,Nonresident,6
CG7500,Nonresident,7
CG7500,Nonresident,8
CG7500,Nonresident,9
CG7500,Resident,0
CG7500,Resident,1
CG7500,Resident,10
CG7500,Resident,11
CG7500,Resident,12
CG7500,Resident,13
CG7500,Resident,14
