hunt_code,residency,points
DA1043,Nonresident,16
DA1043,Nonresident,17
DA1043,Nonresident,18
DA1043,Nonresident,19
DA1043,Nonresident,20
DA1043,Resident,16
DA1043,Resident,17
DA1043,Resident,18
DA1043,Resident,19
DA1043,Resident,20
EA1219,Nonresident,16
EA1219,Nonresident,17
EA1219,Nonresident,18
EA1219,Nonresident,19
EA1219,Nonresident,20
EA1219,Resident,16
EA1219,Resident,17
EA1219,Resident,18
EA1219,Resident,19
EA1219,Resident,20
MA1004,Nonresident,16
MA1004,Nonresident,17
MA1004,Nonresident,18
MA1004,Nonresident,19
MA1004,Nonresident,20
MA1004,Resident,16
MA1004,Resident,17
MA1004,Resident,18
MA1004,Resident,19
MA1004,Resident,20
