hunt_code,residency,points,field,pdf_value,canonical_value,pdf_source_file,pdf_hunt_name,canonical_hunt_name
DA1043,Resident,13,eligible_applicants,1,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,13,regular_permits,1,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,13,total_permits,1,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,10,eligible_applicants,1,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,10,regular_permits,1,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,10,total_permits,1,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Nonresident,9,eligible_applicants,1,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Nonresident,9,regular_permits,1,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Nonresident,9,total_permits,1,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,8,eligible_applicants,3,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,8,regular_permits,3,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,8,total_permits,3,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Nonresident,8,eligible_applicants,2,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Nonresident,8,regular_permits,2,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Nonresident,8,total_permits,2,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,7,eligible_applicants,3,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,7,regular_permits,3,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,7,total_permits,3,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,6,eligible_applicants,9,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,6,regular_permits,9,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
DA1043,Resident,6,total_permits,9,0,19_antlerless_drawing_odds_report.pdf,"Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley"
