year,row_number,hunt_code,points,record_type,field,candidate_values
2022,2,DA1001,,hunt_total_draw_result,sex_type,Antlerless | Doe
2022,2,DA1001,,hunt_total_draw_result,hunt_type,General Season | Limited Entry
2022,3,DA1001,0,point_level_draw_result,sex_type,Antlerless | Doe
2022,3,DA1001,0,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,4,DA1001,1,point_level_draw_result,sex_type,Antlerless | Doe
2022,4,DA1001,1,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,5,DA1001,10,point_level_draw_result,sex_type,Antlerless | Doe
2022,5,DA1001,10,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,6,DA1001,11,point_level_draw_result,sex_type,Antlerless | Doe
2022,6,DA1001,11,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,7,DA1001,12,point_level_draw_result,sex_type,Antlerless | Doe
2022,7,DA1001,12,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,8,DA1001,13,point_level_draw_result,sex_type,Antlerless | Doe
2022,8,DA1001,13,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,9,DA1001,14,point_level_draw_result,sex_type,Antlerless | Doe
2022,9,DA1001,14,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,10,DA1001,15,point_level_draw_result,sex_type,Antlerless | Doe
2022,10,DA1001,15,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,11,DA1001,16,point_level_draw_result,sex_type,Antlerless | Doe
2022,11,DA1001,16,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,12,DA1001,2,point_level_draw_result,sex_type,Antlerless | Doe
2022,12,DA1001,2,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,13,DA1001,3,point_level_draw_result,sex_type,Antlerless | Doe
2022,13,DA1001,3,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,14,DA1001,4,point_level_draw_result,sex_type,Antlerless | Doe
2022,14,DA1001,4,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,15,DA1001,5,point_level_draw_result,sex_type,Antlerless | Doe
2022,15,DA1001,5,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,16,DA1001,6,point_level_draw_result,sex_type,Antlerless | Doe
2022,16,DA1001,6,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,17,DA1001,7,point_level_draw_result,sex_type,Antlerless | Doe
2022,17,DA1001,7,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,18,DA1001,8,point_level_draw_result,sex_type,Antlerless | Doe
2022,18,DA1001,8,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,19,DA1001,9,point_level_draw_result,sex_type,Antlerless | Doe
2022,19,DA1001,9,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,20,DA1027,,hunt_total_draw_result,sex_type,Antlerless | Doe
2022,20,DA1027,,hunt_total_draw_result,hunt_type,General Season | Limited Entry
2022,21,DA1027,0,point_level_draw_result,sex_type,Antlerless | Doe
2022,21,DA1027,0,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,22,DA1027,1,point_level_draw_result,sex_type,Antlerless | Doe
2022,22,DA1027,1,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,23,DA1027,10,point_level_draw_result,sex_type,Antlerless | Doe
2022,23,DA1027,10,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,24,DA1027,11,point_level_draw_result,sex_type,Antlerless | Doe
2022,24,DA1027,11,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,25,DA1027,12,point_level_draw_result,sex_type,Antlerless | Doe
2022,25,DA1027,12,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,26,DA1027,13,point_level_draw_result,sex_type,Antlerless | Doe
2022,26,DA1027,13,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,27,DA1027,14,point_level_draw_result,sex_type,Antlerless | Doe
2022,27,DA1027,14,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,28,DA1027,15,point_level_draw_result,sex_type,Antlerless | Doe
2022,28,DA1027,15,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,29,DA1027,16,point_level_draw_result,sex_type,Antlerless | Doe
2022,29,DA1027,16,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,30,DA1027,2,point_level_draw_result,sex_type,Antlerless | Doe
2022,30,DA1027,2,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,31,DA1027,3,point_level_draw_result,sex_type,Antlerless | Doe
2022,31,DA1027,3,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,32,DA1027,4,point_level_draw_result,sex_type,Antlerless | Doe
2022,32,DA1027,4,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,33,DA1027,5,point_level_draw_result,sex_type,Antlerless | Doe
2022,33,DA1027,5,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,34,DA1027,6,point_level_draw_result,sex_type,Antlerless | Doe
2022,34,DA1027,6,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,35,DA1027,7,point_level_draw_result,sex_type,Antlerless | Doe
2022,35,DA1027,7,point_level_draw_result,hunt_type,General Season | Limited Entry
2022,36,DA1027,8,point_level_draw_result,sex_type,Antlerless | Doe
2022,36,DA1027,8,point_level_draw_result,hunt_type,General Season | Limited Entry
