raw_heading,matched_hunt_code,matched_hunt_name,permits,match_status,score,matched_tokens
"Buck Deer - Limited Entry - Any Weapon - Book Cliffs, North - Permits: 4",DB1025,Book Cliffs,4,AMBIGUOUS_EXPO_MATCH,20,book|cliffs
"Buck Deer - Limited Entry - Any Weapon - Book Cliffs, South - Permits: 3",DB1018,"Book Cliffs, South",3,AMBIGUOUS_EXPO_MATCH,13,book|cliffs
Buck Deer - Limited Entry - Archery - Book Cliffs - Permits: 2,DB1044,Book Cliffs,2,AMBIGUOUS_EXPO_MATCH,20,book|cliffs
Buck Deer - Limited Entry - Muzzleloader - Book Cliffs - Permits: 3,DB1025,Book Cliffs,3,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,13,book|cliffs
"Buck Deer - Limited Entry - Muzzleloader - Cache, Crawford Mtn - Permits: 1",DB1026,"Cache, Crawford Mtn",1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,23,cache|crawford
Buck Deer - Limited Entry - Late-season Muzzleloader - Manti/San Rafael - Permits: 1,DB1037,"San Juan, Elk Ridge",1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,san
"Buck Deer - Limited Entry - Any Weapon - Fillmore, Oak Creek LE - Permits: 2",DB1271,Oak Ranch CWMU,2,AMBIGUOUS_EXPO_MATCH,17,oak
Buck Deer - Premium Limited Entry - Premium Any Weapon - Henry Mtns - Permits: 1,DB1007,Henry Mtns,1,AMBIGUOUS_EXPO_MATCH,16,henry
Buck Deer - Premium Limited Entry - Premium Any Weapon - Paunsaugunt - Permits: 3,DB1010,Paunsaugunt,3,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,17,paunsaugunt
"Buck Deer - Premium Limited Entry - Premium Archery
- Paunsaugunt - Permits: 1",DB1008,Paunsaugunt,1,AMBIGUOUS_EXPO_MATCH,6,paunsaugunt
Muzzleloader - Paunsaugunt - Permits: 1,,,1,NO_TOKEN_MATCH,0,
"Buck Deer - Limited Entry - Management Buck, Any Weapon - Paunsaugunt - Permits: 1",DB1058,Paunsaugunt,1,AMBIGUOUS_EXPO_MATCH,7,paunsaugunt
Buck Deer - Limited Entry - Late-season Muzzleloader - Pine Valley - Permits: 1,DB1034,Pine Valley,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,23,pine|valley
"Buck Deer - Limited Entry - Any Weapon - San Juan, Elk Ridge - Permits: 2",DB1022,"San Juan, Elk Ridge",2,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,17,juan|ridge|san
"Buck Deer - Limited Entry - Any Weapon - Diamond Mtn
- Permits: 3",DB1023,Diamond Mtn,3,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,9,diamond
