source_csv,raw_path,raw_exists,raw_size_bytes,raw_rows,raw_columns,has_hunt_code,hunt_codes,status
big_game_oil_hunt_number_harvest_supplement_2024.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\big_game_oil_hunt_number_harvest_supplement_2024.csv,True,83170,385,23,True,385,RAW_GENERATED_CSV_PRESENT
bison_oial_hunt_harvest_2024.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\bison_oial_hunt_harvest_2024.csv,True,4640,17,21,True,17,RAW_GENERATED_CSV_PRESENT
desert_bighorn_hunt_harvest_2024.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\desert_bighorn_hunt_harvest_2024.csv,True,5812,22,20,True,22,RAW_GENERATED_CSV_PRESENT
elk_general_season_harvest_additional_2024.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\elk_general_season_harvest_additional_2024.csv,True,25477,120,16,False,0,RAW_GENERATED_CSV_PRESENT
harvest_quality_features_by_hunt_code_2024_for_2025.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_quality_features_by_hunt_code_2024_for_2025.csv,True,136846,1039,21,True,1039,RAW_GENERATED_CSV_PRESENT
harvest_quality_features_elk_age_2024_for_2025.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_quality_features_elk_age_2024_for_2025.csv,True,6614,26,18,False,0,RAW_GENERATED_CSV_PRESENT
harvest_quality_features_extra_oil_2024_for_2025.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_quality_features_extra_oil_2024_for_2025.csv,True,3494,32,18,False,0,RAW_GENERATED_CSV_PRESENT
harvest_results_2024_for_2025_all_long.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_results_2024_for_2025_all_long.csv,True,992253,2767,40,True,1039,RAW_GENERATED_CSV_PRESENT
harvest_results_2024_for_2025_ANTLERLESS_DEER.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_results_2024_for_2025_ANTLERLESS_DEER.csv,True,18094,42,40,True,21,RAW_GENERATED_CSV_PRESENT
harvest_results_2024_for_2025_ANTLERLESS_ELK.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_results_2024_for_2025_ANTLERLESS_ELK.csv,True,319604,825,40,True,184,RAW_GENERATED_CSV_PRESENT
harvest_results_2024_for_2025_BISON.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_results_2024_for_2025_BISON.csv,True,6431,16,40,True,16,RAW_GENERATED_CSV_PRESENT
harvest_results_2024_for_2025_BLACK_BEAR.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_results_2024_for_2025_BLACK_BEAR.csv,True,28924,87,40,True,87,RAW_GENERATED_CSV_PRESENT
harvest_results_2024_for_2025_DESERT_BIGHORN_SHEEP.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_results_2024_for_2025_DESERT_BIGHORN_SHEEP.csv,True,7578,21,40,True,21,RAW_GENERATED_CSV_PRESENT
harvest_results_2024_for_2025_ELK.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_results_2024_for_2025_ELK.csv,True,302932,860,40,True,215,RAW_GENERATED_CSV_PRESENT
harvest_results_2024_for_2025_extra_goat_bison_desert_sheep_long.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\csv\harvest data\harvest_results_2024_for_2025_extra_goat_bison_desert_sheep_long.csv,True,325622,676,47,True,56,RAW_GENERATED_CSV_PRESENT
