hunt_code,year,in_2026_database,overall_status,reconciliation_action,permit_status,harvest_permits,draw_total_permits_reconciled,harvest_permits_unique,draw_total_permits_unique,draw_permits_by_residency,metadata_status,metadata_matching_columns,metadata_fill_candidate_columns,metadata_conflict_columns,harvest_row_count,draw_row_count,draw_points_count,harvest_model_target_years,harvest_source_files,draw_source_files,draw_statuses,harvest_boundary_id,draw_boundary_id,harvest_hunt_name,draw_hunt_name,harvest_species,draw_species,harvest_sex_type,draw_sex_type,harvest_hunt_type,draw_hunt_type,harvest_weapon,draw_weapon,harvest_hunt_class,draw_hunt_class
BI6500,2021,TRUE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,2,,0|1,"{""Nonresident"": ""1"", ""Resident"": ""1""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,51,28,,,21_bg-odds.pdf,,,,,Bison - Antelope Island - Any Legal Weapon,,,,,,Limited Entry,,,,Limited Entry
BI6503,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,18,14,18,0|1|2|6,"{""Nonresident"": ""5"", ""Resident"": ""9""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,52,27,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Henry Mtns (hunter's choice),Bison (hunter’s Choice) - Henry Mtns (hunter's Choice) - Any Legal Weapon,Bison,,,,,Limited Entry,,,,Limited Entry
BI6504,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,15,17,15,0|1|4|5,"{""Nonresident"": ""15"", ""Resident"": ""2""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,53,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Henry Mtns (hunter's choice),Bison (hunter’s Choice) - Henry Mtns (hunter's Choice) - Any Legal Weapon,Bison,,,,,Limited Entry,,,,Limited Entry
BI6505,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,14,13,14,0|1|2|3,"{""Nonresident"": ""12"", ""Resident"": ""1""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Henry Mtns (cow only),Bison (cow Only) - Henry Mtns (cow Only) - Any Legal Weapon,Bison,,,,,Limited Entry,,,,Limited Entry
BI6506,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,13,12,13,0|1|2,"{""Nonresident"": ""12"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Henry Mtns (cow only),Bison (cow Only) - Henry Mtns (cow Only) - Any Legal Weapon,Bison,,,,,Limited Entry,,,,Limited Entry
BI6509,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,7,6,7,0|1|2,"{""Nonresident"": ""6"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,51,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Henry Mtns (archery, hunter's choice)",Bison Archery (hunter’s Choice) - Henry Mtns (hunter's Choice) - Archery,Bison,,,,,Limited Entry,,,,Limited Entry
BI6516,2021,TRUE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,15,14,15,0|1|2|3|4,"{""Nonresident"": ""13"", ""Resident"": ""1""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,52,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Henry Mtns (hunter's choice),Bison (hunter’s Choice) - Henry Mtns (hunter's Choice) - Any Legal Weapon,Bison,,,,,Limited Entry,,,,Limited Entry
BI6517,2021,FALSE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,9,5,9,0|1|3,"{""Nonresident"": ""1"", ""Resident"": ""4""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,27,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Book Cliffs (hunter's choice),Bison (hunter’s Choice) - Book Cliffs (hunter's Choice) - Any Legal Weapon,Bison,,,,,Limited Entry,,,,Limited Entry
BI6519,2021,FALSE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,19,18,19,0|1|4,"{""Nonresident"": ""8"", ""Resident"": ""10""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,52,26,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Book Cliffs, Little Creek Roadless (hunter's choice)","Bison (hunter’s Choice) - Book Cliffs, Little Creek Roadless (hunter's Choice) - Any Legal Weapon",Bison,,,,,Limited Entry,,,,Limited Entry
BI6520,2021,FALSE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,6,3,6,0|1|2,"{""Nonresident"": ""3"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,50,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,Book Cliffs (cow only),Bison (cow Only) - Book Cliffs (cow Only) - Any Legal Weapon,Bison,,,,,Limited Entry,,,,Limited Entry
