package,file,path,exists,size_bytes,rows,rows_2024,columns,hunt_codes,codes_missing_from_current_truth,codes_missing_from_current_model,current_truth_codes_missing_from_candidate,age_columns,age_nonblank_counts,metric_nonblank_counts,has_hunt_code,has_quota_guardrail,has_pdraw_guardrail,classification,recommendation
database_package,harvest_quality_features_by_hunt_code_2024_for_2025.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\harvest_quality_features_by_hunt_code_2024_for_2025.csv,True,136846,1039,1039,21,1039,0,0,9,,{},"{""average_days"": 952, ""harvest_female"": 271, ""harvest_male"": 87, ""harvest_total"": 1039, ""hunter_satisfaction"": 21, ""hunters_afield"": 952, ""percent_success"": 1039, ""permits"": 1039}",True,True,True,REFERENCE_ALREADY_COVERED,"Hunt-code coverage is already represented downstream; keep as stronger source evidence, not a replacement."
database_package,harvest_results_2024_for_2025_all_long.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\harvest_results_2024_for_2025_all_long.csv,True,992253,2767,2767,40,1039,0,0,9,,{},"{""average_days"": 2680, ""harvest_female"": 360, ""harvest_male"": 87, ""harvest_total"": 2767, ""hunter_satisfaction"": 42, ""hunters_afield"": 2680, ""percent_success"": 2767, ""permits"": 2767, ""quota"": 0}",True,True,True,REFERENCE_ALREADY_COVERED,"Hunt-code coverage is already represented downstream; keep as stronger source evidence, not a replacement."
database_package,harvest_results_2024_for_2025_hunt_code_keyed.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\harvest_results_2024_for_2025_hunt_code_keyed.csv,True,389279,1039,1039,40,1039,0,0,9,,{},"{""average_days"": 952, ""harvest_female"": 271, ""harvest_male"": 87, ""harvest_total"": 1039, ""hunter_satisfaction"": 21, ""hunters_afield"": 952, ""percent_success"": 1039, ""permits"": 1039, ""quota"": 0}",True,True,True,REFERENCE_ALREADY_COVERED,"Hunt-code coverage is already represented downstream; keep as stronger source evidence, not a replacement."
database_package,harvest_results_2024_for_2025_source_inventory.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\harvest_results_2024_for_2025_source_inventory.csv,True,5022,25,25,5,0,0,0,,pages_detected,"{""pages_detected"": 25}",{},False,False,False,CONTEXT_PROMOTE_UNIT_LEVEL_REVIEW,Observed age/context rows exist but lack hunt_code; use only through reviewed unit-to-hunt mapping.
database_package,harvest_results_2024_for_2025_summary.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\harvest_results_2024_for_2025_summary.csv,True,484,11,11,7,0,0,0,,,{},{},False,False,False,CONTEXT_HOLD_NO_HUNT_CODE,"Rows have no direct hunt_code key, so they cannot replace hunt-code feeder rows."
database_package,harvest_unit_trend_rows_2024_for_2025.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\harvest_unit_trend_rows_2024_for_2025.csv,True,331325,1523,1523,24,0,0,0,,,{},{},False,False,False,CONTEXT_HOLD_NO_HUNT_CODE,"Rows have no direct hunt_code key, so they cannot replace hunt-code feeder rows."
database_package,harvest_results_2024_for_2025_ANTLERLESS_DEER.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\species\harvest_results_2024_for_2025_ANTLERLESS_DEER.csv,True,18094,42,42,40,21,0,0,1027,,{},"{""average_days"": 42, ""harvest_female"": 0, ""harvest_male"": 0, ""harvest_total"": 42, ""hunter_satisfaction"": 42, ""hunters_afield"": 42, ""percent_success"": 42, ""permits"": 42, ""quota"": 0}",True,True,True,REFERENCE_ALREADY_COVERED,"Hunt-code coverage is already represented downstream; keep as stronger source evidence, not a replacement."
database_package,harvest_results_2024_for_2025_ANTLERLESS_ELK.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\species\harvest_results_2024_for_2025_ANTLERLESS_ELK.csv,True,319604,825,825,40,184,0,0,864,,{},"{""average_days"": 825, ""harvest_female"": 273, ""harvest_male"": 0, ""harvest_total"": 825, ""hunter_satisfaction"": 0, ""hunters_afield"": 825, ""percent_success"": 825, ""permits"": 825, ""quota"": 0}",True,True,True,REFERENCE_ALREADY_COVERED,"Hunt-code coverage is already represented downstream; keep as stronger source evidence, not a replacement."
database_package,harvest_results_2024_for_2025_BISON.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\species\harvest_results_2024_for_2025_BISON.csv,True,6431,16,16,40,16,0,0,1032,,{},"{""average_days"": 16, ""harvest_female"": 0, ""harvest_male"": 0, ""harvest_total"": 16, ""hunter_satisfaction"": 0, ""hunters_afield"": 16, ""percent_success"": 16, ""permits"": 16, ""quota"": 0}",True,True,True,REFERENCE_ALREADY_COVERED,"Hunt-code coverage is already represented downstream; keep as stronger source evidence, not a replacement."
database_package,harvest_results_2024_for_2025_BLACK_BEAR.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\harvest_results_2024_for_2025_database\harvest_reports_2024_for_2025_database\species\harvest_results_2024_for_2025_BLACK_BEAR.csv,True,28924,87,87,40,87,0,0,961,,{},"{""average_days"": 0, ""harvest_female"": 87, ""harvest_male"": 87, ""harvest_total"": 87, ""hunter_satisfaction"": 0, ""hunters_afield"": 0, ""percent_success"": 87, ""permits"": 87, ""quota"": 0}",True,True,True,REFERENCE_ALREADY_COVERED,"Hunt-code coverage is already represented downstream; keep as stronger source evidence, not a replacement."
