hunt_code,species,sex_type,hunt_name,hunt_type,weapon,source_scope,comparison_status,draw_total_permits,expo_permits_matched,draw_plus_expo_total,harvest_permits,permit_delta_harvest_minus_draw,permit_delta_harvest_minus_draw_plus_expo,draw_plus_expo_status,expo_match_status,expo_match_sources,draw_source_files,harvest_source_files,draw_row_count,harvest_row_count,draw_residencies,draw_points_count,harvest_unique_permit_values,in_2026_database,same_total_match_ready,notes
BI0001,Bison,Hunter's Choice,Antelope Island,OIAL,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,7,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,7,FALSE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
BI1000,Bison,Hunter's Choice,Bison - Statewide Permit,Sportsman,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,2,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,2,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
BI6500,Bison,Hunters Choice,Antelope Island,Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,TOTAL_PERMIT_MATCH,2,0,2,2,0,0,TOTAL_PERMIT_MATCH,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,2,TRUE,TRUE,Exact hunt-code total match between normalized draw result and preliminary harvest permit count.
BI6503,Bison,Hunters Choice,Henry Mtns,Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,6,0,6,15,9,9,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,15,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
BI6504,Bison,Hunters Choice,Henry Mtns,Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,7,0,7,13,6,6,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,13,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
BI6505,Bison,Cow Only,Henry Mtns,Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,TOTAL_PERMIT_MATCH,28,0,28,28,0,0,TOTAL_PERMIT_MATCH,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,28,TRUE,TRUE,Exact hunt-code total match between normalized draw result and preliminary harvest permit count.
BI6506,Bison,Cow Only,Henry Mtns,Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,DRAW_GREATER_THAN_HARVEST,30,0,30,29,-1,-1,SOURCE_GREATER_THAN_HARVEST,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,29,TRUE,FALSE,"Draw-result total is higher; review extraction grain, hunt status, or whether harvest report filtered the permit universe."
BI6509,Bison,Hunters Choice,Henry Mtns,Once-in-a-lifetime,Archery,OIL_OR_BIG_GAME_SCOPE,DRAW_GREATER_THAN_HARVEST,4,0,4,3,-1,-1,SOURCE_GREATER_THAN_HARVEST,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,3,TRUE,FALSE,"Draw-result total is higher; review extraction grain, hunt status, or whether harvest report filtered the permit universe."
BI6516,Bison,Hunters Choice,Henry Mtns,Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,5,0,5,13,8,8,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,13,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
BI6527,Bison,Hunter's Choice,Nine Mile,OIAL,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,18,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,18,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
