support_file,raw_path,exists,size_bytes,status
utah_harvest_results_2023_all_species.sqlite,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\utah_harvest_results_2023_all_species.sqlite,True,1089536,SUPPORT_FILE_PRESENT
harvest_results_2023_all_species_database_report.json,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_results_2023_all_species_database_report.json,True,8274,SUPPORT_FILE_PRESENT
harvest_results_2023_all_species_database_report.md,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_results_2023_all_species_database_report.md,True,2015,SUPPORT_FILE_PRESENT
