mutation_id,timestamp_utc,mode,target_file,target_sha256_before,target_sha256_after,target_row_number,stable_row_key,column,before_value,after_value,source_file,source_sha256,source_key,source_column,source_value,rule_name,reason,confidence,validation_status
harvest-2024-feature-0001,2026-06-05T14:00:49.233540+00:00,apply,data_model\harvest_quality\harvest_quality_features_all_years_by_hunt_code.csv,24e757d3f910d4335976306b72ecf90085bd19d5f758fccc47ae15f9290cc0d1,439f9afe436881e03170a56556b9c10f823b22a1d62d334da93dd3810b99cc98,5565,reported_hunt_year=2024|hunt_code=TK1003,ROW_APPEND,,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""114.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1003"", ""hunt_name"": ""Central region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""242.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""45.5"", ""permits"": ""277.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",data_truth\harvest_results_truth\normalized\harvest_quality_features_all_years_by_hunt_code.csv,8b9cfd7ac28765818a6f727eed20a50eeff359b8e7831eb9c29699557f646a9e,TK1003,FULL_ROW,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""114.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1003"", ""hunt_name"": ""Central region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""242.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""45.5"", ""permits"": ""277.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",append_missing_2024_harvest_feature_from_normalized_truth,Exact 2024 hunt_code feature row exists in normalized harvest truth and is absent from engine harvest feature history.,HIGH,APPLIED
harvest-2024-feature-0002,2026-06-05T14:00:49.233540+00:00,apply,data_model\harvest_quality\harvest_quality_features_all_years_by_hunt_code.csv,24e757d3f910d4335976306b72ecf90085bd19d5f758fccc47ae15f9290cc0d1,439f9afe436881e03170a56556b9c10f823b22a1d62d334da93dd3810b99cc98,5566,reported_hunt_year=2024|hunt_code=TK1004,ROW_APPEND,,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""97.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1004"", ""hunt_name"": ""Northeastern region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""169.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""57.0"", ""permits"": ""203.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",data_truth\harvest_results_truth\normalized\harvest_quality_features_all_years_by_hunt_code.csv,8b9cfd7ac28765818a6f727eed20a50eeff359b8e7831eb9c29699557f646a9e,TK1004,FULL_ROW,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""97.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1004"", ""hunt_name"": ""Northeastern region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""169.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""57.0"", ""permits"": ""203.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",append_missing_2024_harvest_feature_from_normalized_truth,Exact 2024 hunt_code feature row exists in normalized harvest truth and is absent from engine harvest feature history.,HIGH,APPLIED
harvest-2024-feature-0003,2026-06-05T14:00:49.233540+00:00,apply,data_model\harvest_quality\harvest_quality_features_all_years_by_hunt_code.csv,24e757d3f910d4335976306b72ecf90085bd19d5f758fccc47ae15f9290cc0d1,439f9afe436881e03170a56556b9c10f823b22a1d62d334da93dd3810b99cc98,5567,reported_hunt_year=2024|hunt_code=TK1005,ROW_APPEND,,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""155.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1005"", ""hunt_name"": ""Northern region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""300.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""50.0"", ""permits"": ""355.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",data_truth\harvest_results_truth\normalized\harvest_quality_features_all_years_by_hunt_code.csv,8b9cfd7ac28765818a6f727eed20a50eeff359b8e7831eb9c29699557f646a9e,TK1005,FULL_ROW,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""155.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1005"", ""hunt_name"": ""Northern region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""300.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""50.0"", ""permits"": ""355.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",append_missing_2024_harvest_feature_from_normalized_truth,Exact 2024 hunt_code feature row exists in normalized harvest truth and is absent from engine harvest feature history.,HIGH,APPLIED
harvest-2024-feature-0004,2026-06-05T14:00:49.233540+00:00,apply,data_model\harvest_quality\harvest_quality_features_all_years_by_hunt_code.csv,24e757d3f910d4335976306b72ecf90085bd19d5f758fccc47ae15f9290cc0d1,439f9afe436881e03170a56556b9c10f823b22a1d62d334da93dd3810b99cc98,5568,reported_hunt_year=2024|hunt_code=TK1006,ROW_APPEND,,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""79.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1006"", ""hunt_name"": ""Southeastern region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""160.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""49.0"", ""permits"": ""194.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",data_truth\harvest_results_truth\normalized\harvest_quality_features_all_years_by_hunt_code.csv,8b9cfd7ac28765818a6f727eed20a50eeff359b8e7831eb9c29699557f646a9e,TK1006,FULL_ROW,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""79.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1006"", ""hunt_name"": ""Southeastern region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""160.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""49.0"", ""permits"": ""194.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",append_missing_2024_harvest_feature_from_normalized_truth,Exact 2024 hunt_code feature row exists in normalized harvest truth and is absent from engine harvest feature history.,HIGH,APPLIED
harvest-2024-feature-0005,2026-06-05T14:00:49.233540+00:00,apply,data_model\harvest_quality\harvest_quality_features_all_years_by_hunt_code.csv,24e757d3f910d4335976306b72ecf90085bd19d5f758fccc47ae15f9290cc0d1,439f9afe436881e03170a56556b9c10f823b22a1d62d334da93dd3810b99cc98,5569,reported_hunt_year=2024|hunt_code=TK1007,ROW_APPEND,,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""181.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1007"", ""hunt_name"": ""Southern region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""375.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""46.8"", ""permits"": ""450.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",data_truth\harvest_results_truth\normalized\harvest_quality_features_all_years_by_hunt_code.csv,8b9cfd7ac28765818a6f727eed20a50eeff359b8e7831eb9c29699557f646a9e,TK1007,FULL_ROW,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""181.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1007"", ""hunt_name"": ""Southern region"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""375.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""46.8"", ""permits"": ""450.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",append_missing_2024_harvest_feature_from_normalized_truth,Exact 2024 hunt_code feature row exists in normalized harvest truth and is absent from engine harvest feature history.,HIGH,APPLIED
harvest-2024-feature-0006,2026-06-05T14:00:49.233540+00:00,apply,data_model\harvest_quality\harvest_quality_features_all_years_by_hunt_code.csv,24e757d3f910d4335976306b72ecf90085bd19d5f758fccc47ae15f9290cc0d1,439f9afe436881e03170a56556b9c10f823b22a1d62d334da93dd3810b99cc98,5570,reported_hunt_year=2024|hunt_code=TK1018,ROW_APPEND,,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""5.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1018"", ""hunt_name"": ""Pahvant Ensign CWMU"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""12.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""40.0"", ""permits"": ""12.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",data_truth\harvest_results_truth\normalized\harvest_quality_features_all_years_by_hunt_code.csv,8b9cfd7ac28765818a6f727eed20a50eeff359b8e7831eb9c29699557f646a9e,TK1018,FULL_ROW,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""5.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1018"", ""hunt_name"": ""Pahvant Ensign CWMU"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""12.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""40.0"", ""permits"": ""12.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",append_missing_2024_harvest_feature_from_normalized_truth,Exact 2024 hunt_code feature row exists in normalized harvest truth and is absent from engine harvest feature history.,HIGH,APPLIED
harvest-2024-feature-0007,2026-06-05T14:00:49.233540+00:00,apply,data_model\harvest_quality\harvest_quality_features_all_years_by_hunt_code.csv,24e757d3f910d4335976306b72ecf90085bd19d5f758fccc47ae15f9290cc0d1,439f9afe436881e03170a56556b9c10f823b22a1d62d334da93dd3810b99cc98,5571,reported_hunt_year=2024|hunt_code=TK1021,ROW_APPEND,,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""4.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1021"", ""hunt_name"": ""East Zion CWMU"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""6.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""60.0"", ""permits"": ""6.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",data_truth\harvest_results_truth\normalized\harvest_quality_features_all_years_by_hunt_code.csv,8b9cfd7ac28765818a6f727eed20a50eeff359b8e7831eb9c29699557f646a9e,TK1021,FULL_ROW,"{""average_age"": """", ""average_days"": """", ""data_quality_flags"": """", ""do_not_use_directly_for_p_draw"": ""True"", ""do_not_use_for_permit_quota"": ""True"", ""female_harvest"": """", ""harvest_female"": """", ""harvest_male"": """", ""harvest_objective"": """", ""harvest_total"": ""4.0"", ""harvest_unknown"": """", ""harvest_young"": """", ""hunt_code"": ""TK1021"", ""hunt_name"": ""East Zion CWMU"", ""hunt_type"": ""Turkey Spring Limited Entry/CWMU"", ""hunter_satisfaction"": """", ""hunters_afield"": ""6.0"", ""male_harvest"": """", ""model_target_year"": ""2025"", ""parse_status"": """", ""percent_success"": ""60.0"", ""permits"": ""6.0"", ""recommended_use"": """", ""reported_hunt_year"": ""2024"", ""sex_type"": """", ""source_container"": ""data_truth\\harvest_results_truth\\source_package_bundles\\HUNTS_harvest_truth_and_overlay_packages_for_codex\\turkey_harvest_results_2023_24_for_2025_database.zip"", ""source_file"": ""2023-24 turkey.pdf"", ""source_kind"": ""zip_keyed"", ""source_member"": ""turkey_hunt_code_keyed_2024_for_2025.csv"", ""source_page"": ""5"", ""source_priority"": ""80"", ""source_status"": ""final"", ""species"": ""Turkey"", ""trend_feature_eligible"": ""True"", ""weapon"": """"}",append_missing_2024_harvest_feature_from_normalized_truth,Exact 2024 hunt_code feature row exists in normalized harvest truth and is absent from engine harvest feature history.,HIGH,APPLIED
