row_number,hunt_code,raw_hunt_name,normalized_family_before,normalized_family_after,source_classification_before,source_classification_after,hunt_type_before,hunt_type_after,numeric_fields_changed
36419,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36420,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36421,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36422,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36423,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36424,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36425,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36426,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36427,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36428,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36429,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36430,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36431,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36432,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36433,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36434,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36435,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36436,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36437,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36438,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36439,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36440,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36441,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36442,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36443,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36444,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36445,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36446,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36447,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36448,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36449,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36450,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36451,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36452,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36453,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36454,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36455,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36456,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36457,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36458,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36459,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36460,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36461,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36462,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36463,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36464,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36465,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36466,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36467,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36468,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36469,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36470,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36471,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36472,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36473,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36474,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36475,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36476,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36477,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36478,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36479,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36480,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36481,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36482,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36483,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36484,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36485,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36486,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36487,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36488,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36489,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36490,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36491,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36492,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36493,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36494,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36495,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36496,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36497,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36498,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36499,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36500,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36501,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36502,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36503,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36504,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36505,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36506,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36507,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36508,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36509,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36510,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36511,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36512,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36513,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36514,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36515,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36516,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36517,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36518,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36519,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36520,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36521,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36522,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36523,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36524,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36525,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36526,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36527,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36528,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36529,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36530,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36531,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36532,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36533,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
