actual_draw_year,hunt_code,points,record_type,source_file,pdf_page,side,column,values
2026,DB1775,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,48 | 2
2026,DB1775,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 2
2026,DB1775,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1777,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,22 | 2
2026,DB1777,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,22 | 2
2026,DB1777,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,22 | 2
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,66.666667 | 100
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,44 | 3
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,66 | 3
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,44 | 3
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.666666667 | 1
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.666666667 | 1
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,p_draw_percent,66.666667 | 100
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,regular_permits,4 | 1
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,eligible_applicants,6 | 1
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,total_permits,4 | 1
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,p_draw,0.666666667 | 1
2026,DB1778,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,success_ratio,0.666666667 | 1
2026,DB1779,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1779,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 8
2026,DB1779,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,37 | 8
2026,DB1779,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 8
2026,DB1779,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1780,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1780,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 1
2026,DB1780,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,26 | 1
2026,DB1780,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 1
2026,DB1780,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1780,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1780,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 2
2026,DB1780,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,15 | 2
2026,DB1780,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 2
2026,DB1780,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1780,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,83.333333 | 100
2026,DB1780,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,10 | 1
2026,DB1780,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,12 | 1
2026,DB1780,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,10 | 1
2026,DB1780,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.833333333 | 1
2026,DB1780,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.833333333 | 1
2026,DB1781,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,97.87234 | 100
2026,DB1781,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,46 | 1
2026,DB1781,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,47 | 1
2026,DB1781,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,46 | 1
2026,DB1781,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.978723404 | 1
2026,DB1781,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.978723404 | 1
2026,DB1781,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,2 | 1
2026,DB1781,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,2 | 1
2026,DB1781,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,2 | 1
2026,DB1782,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,60 | 1
2026,DB1782,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,60 | 1
2026,DB1782,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,60 | 1
2026,DB1783,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,70 | 1
2026,DB1783,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,70 | 1
2026,DB1783,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,70 | 1
2026,DB1785,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1785,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 16
2026,DB1785,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,71 | 16
2026,DB1785,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 16
2026,DB1785,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1785,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,1.204819 | 100
2026,DB1785,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,83 | 1
2026,DB1785,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.012048193 | 1
2026,DB1785,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.012048193 | 1
2026,DB1785,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,31.818182 | 100
2026,DB1785,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,21 | 1
2026,DB1785,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,66 | 1
2026,DB1785,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,21 | 1
2026,DB1785,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.318181818 | 1
2026,DB1785,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.318181818 | 1
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 13
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,92 | 13
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 13
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,p_draw_percent,N/A | 100
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,regular_permits,0 | 1
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,eligible_applicants,10 | 1
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,total_permits,0 | 1
2026,DB1786,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,success_ratio,N/A | 1
2026,DB1786,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1786,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 19
2026,DB1786,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,36 | 19
2026,DB1786,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 19
2026,DB1786,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1786,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1786,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 4
2026,DB1786,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,94 | 4
2026,DB1786,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 4
2026,DB1786,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1786,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1786,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 1
2026,DB1786,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,86 | 1
2026,DB1786,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 1
2026,DB1786,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1786,5,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,98.913043 | 100
2026,DB1786,5,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,91 | 1
2026,DB1786,5,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,92 | 1
2026,DB1786,5,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,91 | 1
2026,DB1786,5,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.989130435 | 1
2026,DB1786,5,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.989130435 | 1
2026,DB1787,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1787,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 2
2026,DB1787,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,58 | 2
2026,DB1787,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 2
2026,DB1787,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1787,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,95.652174 | 100
2026,DB1787,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,22 | 1
2026,DB1787,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,23 | 1
2026,DB1787,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,22 | 1
2026,DB1787,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.956521739 | 1
2026,DB1787,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.956521739 | 1
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 3
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,57 | 3
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 3
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,p_draw_percent,N/A | 100
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,regular_permits,0 | 1
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,eligible_applicants,3 | 1
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,total_permits,0 | 1
2026,DB1788,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,nonresident,success_ratio,N/A | 1
2026,DB1788,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1788,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 1
2026,DB1788,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,31 | 1
2026,DB1788,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 1
2026,DB1788,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1788,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,47.368421 | 100
2026,DB1788,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,9 | 1
2026,DB1788,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,19 | 1
2026,DB1788,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,9 | 1
2026,DB1788,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.473684211 | 1
2026,DB1788,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.473684211 | 1
2026,DB1790,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,93.023256 | 100
2026,DB1790,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,40 | 1
2026,DB1790,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,43 | 1
2026,DB1790,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,40 | 1
2026,DB1790,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.930232558 | 1
2026,DB1790,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.930232558 | 1
2026,DB1791,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1791,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 6
2026,DB1791,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,71 | 6
2026,DB1791,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 6
2026,DB1791,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1791,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,14.285714 | 100
2026,DB1791,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,8 | 1
2026,DB1791,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,56 | 1
2026,DB1791,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,8 | 1
2026,DB1791,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.142857143 | 1
2026,DB1791,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,0.142857143 | 1
2026,DB1791,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,17 | 1
2026,DB1791,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,17 | 1
2026,DB1791,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,17 | 1
2026,DB1792,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1792,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 11
2026,DB1792,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,86 | 11
2026,DB1792,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 11
2026,DB1792,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1793,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,N/A | 100
2026,DB1793,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,0 | 1
2026,DB1793,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,13 | 1
2026,DB1793,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,0 | 1
2026,DB1793,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,success_ratio,N/A | 1
2026,DB1794,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw_percent,35.135135 | 100
2026,DB1794,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,regular_permits,78 | 14
2026,DB1794,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,eligible_applicants,222 | 14
2026,DB1794,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,total_permits,78 | 14
2026,DB1794,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter,,resident,p_draw,0.351351351 | 1
