hunt_code,hunt_name,old_record_type,new_record_type,old_row_type,new_row_type
BI1000,Sportsman Bison,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
BR1000,Sportsman Black Bear,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
CG1000,Sportsman Cougar,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
DB0007,Sportsman Deer,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
DS1000,Sportsman Desert Bighorn,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
EB1000,Sportsman Elk,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
GO1000,Sportsman Mountain Goat,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
MB1000,Sportsman Moose,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
PB1000,Sportsman Pronghorn,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
RS0001,Sportsman Rocky Mtn,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
TK0001,Sportsman Bearded,hunt_total_draw_result,sportsman_total,hunt_total_draw_result,sportsman_total
