hunt_code,hunt_name,species,residency,hunt_class,modeled_draw_probability,harvest_success_pct,permits_2026_total,sleeper_score,sleeper_reasons,data_limitations
EB3025,"Beaver, East",Elk,Resident,Mature Bull,0.4,88.2,17,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3031,"Box Elder, Pilot Mtn",Elk,Resident,Mature Bull,0.2,75,7,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3036,"Cache, South",Elk,Nonresident,Mature Bull,0,100,4,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3038,Manti,Elk,Nonresident,Mature Bull,0.1,70.8,68,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3038,Manti,Elk,Resident,Mature Bull,0.6,70.8,68,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3039,Manti,Elk,Nonresident,Mature Bull,0.3,81.1,113,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3039,Manti,Elk,Resident,Mature Bull,2.6,81.1,113,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3043,"Fillmore, Pahvant",Elk,Resident,Mature Bull,0.7,66.7,15,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3044,Dolores Triangle,Elk,Resident,Mature Bull,0,85.7,7,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3045,La Sal Mtns,Elk,Resident,Mature Bull,0.2,47.1,16,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3046,La Sal Mtns,Elk,Nonresident,Mature Bull,0.2,42.9,27,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3046,La Sal Mtns,Elk,Resident,Mature Bull,0,42.9,27,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3047,Monroe,Elk,Resident,Mature Bull,0.1,100,9,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3048,Monroe,Elk,Nonresident,Mature Bull,0.1,93.3,15,4,harvest success above peer median; permit count at or above peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3048,Monroe,Elk,Resident,Mature Bull,0.8,93.3,15,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3049,Mt Dutton,Elk,Resident,Mature Bull,0.2,87.5,9,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3050,Mt Dutton,Elk,Nonresident,Mature Bull,0.1,93.3,15,4,harvest success above peer median; permit count at or above peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
