source_year,model_year,source_scope,source_pdf,pdf_page,hunt_code,family,raw_hunt_name,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio,record_type,extraction_status,parse_method
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Resident,32,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Nonresident,32,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Resident,31,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Nonresident,31,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Resident,30,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Nonresident,30,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Resident,29,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Nonresident,29,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Resident,28,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
2025,2026,LIMITED_ENTRY_DEER,2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,DB1000,DB,Premium Le Archery Buck Deer - Henry Mtns - Archery,Nonresident,28,0,0,0,0,N/A,POINT_ROW,OK,PDFPLUMBER_2025_LE_OIL_UPLOADED_PDF_KEEP_ZERO_ROWS
