source_pdf,pdf_page,table_index,row_index,hunt_code,reason,tokens
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,0,33,DB1000,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 508 | 4 | 4 | 8 | 1 in 63.5 | Totals | 692 | 0 | 1 | 1 | 1 in 692.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,3,0,33,DB1001,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 760 | 13 | 12 | 25 | 1 in 30.4 | Totals | 910 | 2 | 1 | 3 | 1 in 303.3
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,4,0,33,DB1002,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 1801 | 0 | 1 | 1 | in 1801.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,5,0,33,DB1003,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 2657 | 11 | 10 | 21 | 1 in 126.5 | Totals | 3411 | 2 | 1 | 3 | in 1137.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,6,0,33,DB1004,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 3871 | 37 | 36 | 73 | 1 in 53.0 | Totals | 3492 | 4 | 3 | 7 | 1 in 498.9
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,7,0,33,DB1005,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 356 | 4 | 4 | 8 | 1 in 44.5 | Totals | 411 | 0 | 1 | 1 | 1 in 411.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,8,0,33,DB1006,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 517 | 13 | 12 | 25 | 1 in 20.7 | Totals | 406 | 2 | 1 | 3 | 1 in 135.3
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,9,0,33,DB1007,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 488 | 0 | 1 | 1 | 1 in 488.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,10,0,33,DB1008,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 570 | 2 | 1 | 3 | 1 in 190.0 | Totals | 374 | 0 | 1 | 1 | 1 in 374.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,11,0,33,DB1009,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 198 | 5 | 5 | 10 | 1 in 19.8 | Totals | 102 | 0 | 1 | 1 | 1 in 102.0
