source_pdf,pdf_page,source_scope,hunt_code,raw_hunt_name,tables_found,point_rows_extracted
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,1,LIMITED_ENTRY_DEER,,,1,0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,2,LIMITED_ENTRY_DEER,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,3,LIMITED_ENTRY_DEER,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,4,LIMITED_ENTRY_DEER,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,5,LIMITED_ENTRY_DEER,DB1003,Premium Le Alw (rifle) Buck Deer - Henry Mtns -Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,6,LIMITED_ENTRY_DEER,DB1004,Premium Le Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,7,LIMITED_ENTRY_DEER,DB1005,Premium Le Muzzleloader Buck Deer -Henry Mtns - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,8,LIMITED_ENTRY_DEER,DB1006,Premium Le Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,9,LIMITED_ENTRY_DEER,DB1007,Multi-season Premium Limited-entry Buck Deer - Henry Mtns - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,10,LIMITED_ENTRY_DEER,DB1008,Multi-season Premium Limited-entry Buck Deer - Paunsaugunt -Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,11,LIMITED_ENTRY_DEER,DB1009,Management Alw (rifle) Buck Deer - Henry Mtns - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,12,LIMITED_ENTRY_DEER,DB1010,Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,13,LIMITED_ENTRY_DEER,DB1011,Limited-entry Archery Buck Deer - Book Cliffs - Archery,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,14,LIMITED_ENTRY_DEER,DB1012,"Limited-entry Archery Buck Deer - Fillmore, Oak Creek Le - Archery",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,15,LIMITED_ENTRY_DEER,DB1013,"Limited-entry Archery Buck Deer - La Sal, Dolores Triangle - Archery",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,16,LIMITED_ENTRY_DEER,DB1014,"Limited-entry Archery Buck Deer - San Juan, Elk Ridge - Archery",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,17,LIMITED_ENTRY_DEER,DB1015,Limited-entry Archery Buck Deer - Diamond Mtn - Archery,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,18,LIMITED_ENTRY_DEER,DB1016,"Limited-entry Archery Buck Deer - West Desert, Vernon - Archery",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,19,LIMITED_ENTRY_DEER,DB1017,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, North - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,20,LIMITED_ENTRY_DEER,DB1018,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, South - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,21,LIMITED_ENTRY_DEER,DB1019,"Limited-entry Alw (rifle) Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon",1,66
