source_pdf,exists,source_scope,rows,unique_hunt_codes,rejects
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,True,LIMITED_ENTRY_DEER,12870,195,195
2025_PERMITS=2026_MODEL__L.E. BUCK PRONGHORN DRAW RESULTS.pdf,True,LIMITED_ENTRY_PRONGHORN,5808,88,88
2025_PERMITS=2026_MODEL__L.E. BULL ELK DRAW RESULTS.pdf,True,LIMITED_ENTRY_ELK,13860,210,210
2025_PERMITS=2026_MODEL__O.I.L. BISON DRAW RESULTS.pdf,True,OIL_BISON,990,15,15
2025_PERMITS=2026_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,True,OIL_BULL_MOOSE,2376,36,36
2025_PERMITS=2026_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,True,OIL_DESERT_BIGHORN_SHEEP,1188,18,18
2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,True,OIL_MTN_GOAT,1122,17,17
2025_PERMITS=2026_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,True,OIL_ROCKY_MTN_SHEEP,990,15,15
