source_scope,rows,unique_hunt_codes,min_points,max_points
LIMITED_ENTRY_DEER,12870,195,0,32
LIMITED_ENTRY_ELK,13860,210,0,32
LIMITED_ENTRY_PRONGHORN,5808,88,0,32
OIL_BISON,990,15,0,32
OIL_BULL_MOOSE,2376,36,0,32
OIL_DESERT_BIGHORN_SHEEP,1188,18,0,32
OIL_MTN_GOAT,1122,17,0,32
OIL_ROCKY_MTN_SHEEP,990,15,0,32
