comparison,hunt_code,boundary_id,hunt_name,species,primary_universe_bucket,scoring_bucket
locked_2025_model_workbook_NOT_IN_bible_2025,BI1000,5000,Statewide,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2025_model_workbook_NOT_IN_bible_2025,BR1000,5001,Statewide,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2025_model_workbook_NOT_IN_bible_2025,CG9999,5107,Statewide,Cougar,MATRIX_MAPPED_SEARCHABLE_NOT_WORKBOOK,MAPPED_SEARCHABLE_NOT_AUTOMATICALLY_SCORABLE
locked_2025_model_workbook_NOT_IN_bible_2025,DB0007,5108,Statewide,Deer,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2025_model_workbook_NOT_IN_bible_2025,DS1000,5110,Statewide,Desert Bighorn Sheep,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2025_model_workbook_NOT_IN_bible_2025,EB1000,5119,Statewide,Elk,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2025_model_workbook_NOT_IN_bible_2025,GO1000,5131,Statewide,Mountain Goat,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2025_model_workbook_NOT_IN_bible_2025,MB1000,5133,Statewide,Moose,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2025_model_workbook_NOT_IN_bible_2025,PB1000,5134,Statewide,Pronghorn,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2025_model_workbook_NOT_IN_bible_2025,RS0001,5135,Statewide,Rocky Mountain Bighorn Sheep,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2025_model_workbook_NOT_IN_bible_2025,TK0001,454,Statewide,Turkey,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI1000,5000,Statewide,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6500,1,Antelope Island,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6503,94,Henry Mtns,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6504,94,Henry Mtns,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6505,94,Henry Mtns,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6506,94,Henry Mtns,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6509,94,Henry Mtns,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
