hunt_code,boundary_id,boundary_id_source,primary_universe_bucket,scoring_bucket,hunt_name,species,sex_type,hunt_type,weapon,prefix,present_2026_model_workbook,present_2025_model_workbook,present_2026_hunt_matrix,present_DATABASE,present_long_file,present_boundary_index,boundary_geojson_exists,present_BIBLE_2026,present_BIBLE_2025,present_normalized_2025_for_2026,present_demoted_1289_built_master,boundary_geojson_path,member_boundary_ids,source_boundary_ids,source_flags,lock_status
BI1000,5000,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Statewide,Bison,Hunters Choice,Statewide,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,processed_data/boundaries/BI1000.geojson,667|889|637,667|889|637,database|matrix|long|built_demoted|normalized_2025_for_2026|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6500,1,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Antelope Island,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6500.geojson,,1,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6503,94,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6503.geojson,,94,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6504,94,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6504.geojson,,94,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6505,94,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Henry Mtns,Bison,Female Only,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6505.geojson,,94,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6506,94,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Henry Mtns,Bison,Female Only,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6506.geojson,,94,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6509,94,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Archery,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6509.geojson,,94,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6516,94,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6516.geojson,,94,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6527,615,DATABASE.boundary_id,MATRIX_MAPPED_SEARCHABLE_NOT_WORKBOOK,MAPPED_SEARCHABLE_NOT_AUTOMATICALLY_SCORABLE,Nine Mile,Bison,Hunters Choice,General Season,Any Legal Weapon,BI,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,processed_data/boundaries/BI6527.geojson,,615,database|matrix|long|built_demoted|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6528,889,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Archery,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6528.geojson,,889,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6529,889,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Book Cliffs, Little Creek/South",Bison,Female Only,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6529.geojson,,889,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6531,889,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6531.geojson,,889,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6532,667,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Book Cliffs, Bitter Creek (pronghorn)",Bison,Hunters Choice,Once-in-a-lifetime,Archery,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6532.geojson,,667,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
