runtime_promotion_family,runtime_promotion_status,row_count,hunt_code_count,duplicate_runtime_key_count,source_report,promotion_decision
SPORTSMAN_RANDOM_ONLY,PROMOTED_TO_RUNTIME,10,10,0,audits\full_family_runtime_materialized_20260703_025641\outputs\sportsman_permit_report.json,APPROVED_RUNTIME_PROMOTION_2026_06_29
YOUTH_GENERAL_ANY_BULL_ELK,PROMOTED_TO_RUNTIME,2,1,0,audits\full_family_runtime_materialized_20260703_025641\outputs\youth_draw_report.json,APPROVED_RUNTIME_PROMOTION_2026_06_29
PREFERENCE_DEDICATED_HUNTER_DEER,PROMOTED_TO_RUNTIME,503,31,0,audits\full_family_runtime_materialized_20260703_025641\outputs\dedicated_hunter_report.json,APPROVED_RUNTIME_PROMOTION_2026_06_29
BEAR_DRAW,PROMOTED_TO_RUNTIME,2615,100,0,audits\full_family_runtime_materialized_20260703_025641\outputs\bear_report.json,APPROVED_RUNTIME_PROMOTION_2026_06_29
BONUS_TURKEY,PROMOTED_TO_RUNTIME,184,9,0,audits\full_family_runtime_materialized_20260703_025641\outputs\turkey_bonus_report.json,APPROVED_RUNTIME_PROMOTION_2026_06_29
YOUTH_TURKEY_SET_ASIDE,PROMOTED_TO_RUNTIME,232,5,0,audits\full_family_runtime_materialized_20260703_025641\outputs\youth_turkey_report.json,APPROVED_RUNTIME_PROMOTION_2026_06_29
