target_file,target_row_number,hunt_code,field,before_value,after_value,source_file,source_boundary_geojson_path,rule_name,reason
processed_data/hunt_unit_reference_linked.csv,631,DB1208,boundary_id,808,874,hunt_boundaries.geojson,processed_data/boundaries/DB1208.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
processed_data/hunt_unit_reference_linked.csv,632,DB1208,boundary_id,808,874,hunt_boundaries.geojson,processed_data/boundaries/DB1208.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
processed_data/hunt_unit_reference_linked.csv,1403,EA1180,boundary_id,684,5111,unit_specific_conservation_expo_bundles.csv,processed_data/boundaries/EA1180.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
processed_data/hunt_unit_reference_linked.csv,1404,EA1180,boundary_id,684,5111,unit_specific_conservation_expo_bundles.csv,processed_data/boundaries/EA1180.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
processed_data/hunt_unit_reference_linked.csv,1491,EA1260,boundary_id,874,808,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1260.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
processed_data/hunt_unit_reference_linked.csv,1492,EA1260,boundary_id,874,808,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1260.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
processed_data/hunt_unit_reference_linked.csv,1493,EA1261,boundary_id,808,874,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1261.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
processed_data/hunt_unit_reference_linked.csv,1494,EA1261,boundary_id,808,874,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1261.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
processed_data/hunt_unit_reference_linked.csv,1509,EA1270,boundary_id,175,5114,unit_specific_conservation_expo_bundles.csv,processed_data/boundaries/EA1270.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
processed_data/hunt_unit_reference_linked.csv,1510,EA1270,boundary_id,175,5114,unit_specific_conservation_expo_bundles.csv,processed_data/boundaries/EA1270.geojson,reviewed_kmz_boundary_crossmap,Boundary ID extracted from reviewed DWR KMZ-derived boundary index row.
