row,hunt_code,boundary_id,dwr_boundary_id,member_boundary_ids,boundary_geometry_type
200,DB1036,632,,,single_boundary_id
218,DB1059,628,,,single_boundary_id
229,DB1082,622,,,single_boundary_id
235,DB1088,624,,,single_boundary_id
236,DB1089,623,,,single_boundary_id
239,DB1094,864,,,single_boundary_id
320,DB1276,737,,,single_boundary_id
351,DB1320,686,,,single_boundary_id
354,DB1324,828,,,single_boundary_id
367,DB1338,891,,,single_boundary_id
370,DB1343,907,,,single_boundary_id
371,DB1344,906,,,single_boundary_id
372,DB1345,923,,,single_boundary_id
374,DB1348,922,,,single_boundary_id
539,EA1007,867,,,single_boundary_id_exact_name_match
561,EA1040,723,,,single_boundary_id
564,EA1053,132,,,single_boundary_id_exact_name_match
574,EA1074,636,,,single_boundary_id
591,EA1107,227,,,single_boundary_id_exact_name_match
597,EA1116,635,,,single_boundary_id
606,EA1126,640,,,single_boundary_id
645,EA1176,524,,,single_boundary_id
686,EA1252,893,,,single_boundary_id
717,EA1288,952,,,single_boundary_id_exact_name_match
718,EA1289,952,,,single_boundary_id_exact_name_match
719,EA1290,952,,,single_boundary_id_exact_name_match
720,EA1291,950,,,single_boundary_id_exact_name_match
721,EA1292,950,,,single_boundary_id_exact_name_match
722,EA1293,140,,,single_boundary_id_exact_name_match
723,EA1294,951,,,single_boundary_id_exact_name_match
725,EA1296,227,,,single_boundary_id_exact_name_match
726,EA1297,953,,,single_boundary_id_exact_name_match
727,EA1298,954,,,single_boundary_id_exact_name_match
730,EA1301,923,,,single_boundary_id_exact_name_match
974,EB3561,521,,,single_boundary_id
983,EB3609,828,,,single_boundary_id
988,EB3616,891,,,single_boundary_id
989,EB3617,923,,,single_boundary_id
1268,MA1011,561,,,single_boundary_id_exact_name_match
