boundary_id,boundary_name
2,"Monroe, Rock Springs"
4,"Beaver, Manderfield-Sulfurdale"
5,"Beaver, Marysvale"
9,"Book Cliffs, Bitter Creek-McCook Ridge"
10,"Book Cliffs, Bitter Creek-Willow Creek"
13,"Book Cliffs, Rattlesnake Canyon"
14,"Book Cliffs, San Arroyo"
17,"Box Elder, Grouse-Sawtooth"
18,"Box Elder, Hansel Mtn"
19,"Box Elder, Howell-Bothwell-Penrose"
20,"Box Elder, Newfoundland Mtn"
24,"Box Elder, Promontory"
25,"Box Elder, Puddle Valley"
27,"Box Elder, Snowville"
30,"Cache, East"
33,"Cache, Meadowville"
34,"Cache, Millville Face (1)"
35,"Cache, Millville Face (2)"
36,"Cache, North"
37,"Cache, North Rich"
38,"Cache, Rich"
39,"Cache, Richards Hollow"
40,"Cache, Richmond-Hyde Park"
41,"Cache, South"
42,Central Mtns
43,"Manti, Central"
45,"Manti, Ferron Canyon"
46,Gilluly
47,"Manti, Gordon Creek-Price Canyon"
48,Gunnison Valley
49,"Manti, Horn Mtn"
50,Juab County name needs updating
53,Manti-South
54,Milburn
55,"Manti, Morhland Stump Flat"
58,"Manti, North"
60,Nebo Northwest
61,Sanpete Valley
62,South Manti
64,Southwest Nebo
65,West Manti
66,West Nebo
67,Central Region
70,"Chalk Creek, East Coalville"
72,"Chalk Creek, North"
73,"Chalk Creek, Private Lands"
74,"Chalk Creek, South"
77,"East Canyon, Davis-North Salt Lake"
78,"East Canyon, Morgan"
79,"East Canyon, Morgan-Summit"
80,"East Canyon, Summit"
81,"Fillmore, Oak Creek South"
82,"Fillmore, Delta-Sevier River"
83,"Fillmore, McCornick"
89,"Fillmore, Pahvant South"
90,"San Rafael, Mounds"
91,"Cache, Wellsville Mtns"
96,Boulder-Circle Cliffs
98,"Kaiparowits, East"
99,"Kaiparowits, Escalante"
100,"Kaiparowits, West"
102,High Uintas Kamas
103,"Kamas, Francis"
104,"Kamas, Oakley"
105,"Kamas, West Hills"
107,"Nebo, Moroni Hills"
110,"San Rafael, Poison Springs Bench"
111,"La Sal, Taylor Flat"
114,"Monroe, Greenwich"
116,"West Desert, Tintic Valley"
120,"Morgan-South Rich, East Lost Creek"
121,"Morgan-South Rich, Henefer-Echo WMA"
122,"Morgan-South Rich, South Rich"
123,"Morgan-South Rich, South Weber"
124,"Morgan-South Rich, West Lost Creek"
126,"Mt Dutton/Paunsaugunt, Johns Valley A"
128,"Nine Mile, Anthro"
129,"Nine Mile, Anthro-Myton Bench"
132,"Nine Mile, West Anthro"
134,"North Slope, Greendale"
135,"North Slope, Henrys Fork-Burnt Fork"
136,"North Slope, Lucerne Point"
142,"North Slope, West Daggett"
145,High Uintas Central
146,High Uintas East
147,High Uintas Leidy Peak
148,High Uintas West
151,Northern Region
155,"Ogden, South"
157,"Ogden, Willard Peak"
159,"Oquirrh-Stansbury, Oquirrh Mtns"
167,"Pine Valley, Beryl Junction"
169,"Pine Valley, Enterprise"
171,Plateau
173,Boulder-Salt Gulch
177,Valley Area
183,San Juan Bull Elk
184,"San Juan, East Of US-191"
186,"San Juan, Hatch Point"
187,"San Juan, Lockhart"
188,"San Juan, Montezuma Canyon"
189,"San Juan, North Elk Ridge"
190,"San Juan, South"
193,"San Rafael, Dirty Devil"
194,"San Rafael, North"
195,"San Rafael, South"
200,"Wasatch Mtns, Timpanogos"
201,Heist
202,"San Rafael, North A"
203,Arcadia
207,Little Mtn-Buckskin Hills
208,Vernal
209,Vernal-Blue Mtn
214,Southern Region A
216,"Southwest Desert, Garrison"
217,"Southwest Desert, Milford Flat"
222,Wasatch Mtns
223,"Wasatch Mtns, Alpine"
224,"Wasatch Mtns, Avintaquin A"
225,"Wasatch Mtns, Box Elder Peak"
227,"Wasatch Mtns, Currant Creek"
228,"Wasatch Mtns, Currant Creek-South Of US-40"
229,"Wasatch Mtns, Diamond Fork"
230,"Wasatch Mtns, East Heber"
231,"Wasatch Mtns, Lone Peak"
232,"Wasatch Mtns, Park City"
233,"Wasatch Mtns, Provo Peak"
236,"Wasatch Mtns, Strawberry"
238,"Wasatch Mtns, Wallsburg"
240,"Wasatch Mtns, West Heber"
241,"West Desert, Deep Creek"
242,"West Desert, East"
244,"West Desert, Riverbed"
245,"West Desert, Rush Valley"
246,"West Desert, Snake Valley"
249,"Wasatch Mtns, Timpanogos C"
250,Youth Late Season Any Bull
262,Youth General Any Bull Elk
263,Southeastern Region A
264,Northeastern Region
282,Wasatch Front Extended Archery Area
283,Sanpete Valley Extended Archery Area
287,"North Slope, Three Corners-Bare Top"
288,Stansbury
302,"Cache, North"
303,"Cache, South"
304,"Cache, Wellsville"
305,"Pine Valley, Beaver Dam"
306,"Pine Valley, Virgin River"
307,"San Juan, Lockhart"
308,"San Juan, North"
309,"San Juan, San Juan River"
310,"San Juan, South"
313,West Cache Extended Archery Area
315,"Town of Alta, designated portion"
317,Scott M. Matheson Wetland Preserve
318,Green River near Jensen
319,"Salt Lake County, south of I-80, east of I-15"
320,Camp Williams
321,"Silver Lake, Big Cottonwood Canyon"
323,Red Butte Research Natural Area
430,"Fillmore, Chalk Creek A"
431,"North Slope, North Browns Park"
434,South Browns Park
438,"Mt Dutton, Deep Creek"
440,"West Desert, Deep Creek-Ibapah"
441,Emigration Township
443,"San Rafael, Desert"
452,Diamond Mtn/Vernal
453,Mt Dutton/Paunsaugunt
458,"Fillmore, Pahvant/Beaver"
461,Diamond Mtn/Bonanza
467,"Beaver, Circleville"
468,"Beaver, North Creek"
471,"Paunsaugunt, Skutumpah"
473,Fishlake-Gooseberry
474,"Fillmore, Oak City"
480,"Wasatch Mtns, Timpanogos B"
483,"Southwest Desert, Northwest Part"
517,Riverview Ranch LLC
537,Zane
540,Scofield East
557,Allen Ranch
558,Westlake
561,Beaver Hollow
576,SJ Ranch
590,Rabbit Creek
600,Swan Area
639,"Cache, East Rich"
669,San Juan (bear)
670,"Nine Mile, Avintaquin-West Anthro"
673,"Fillmore, Pahvant North"
674,"Ogden, South Cache"
676,"Fillmore, Chalk Creek"
677,Morgan-South Rich B
678,Vernal/Yellowstone/Bonanza
679,Eastern Box Elder goose area
682,"Box Elder, Pilot Mtn"
688,"La Sal, Potash/South Cisco"
689,"Henry Mtns, South"
690,Ferron Lower
691,"Monroe, Middle"
692,"Monroe, South"
693,"Mt Dutton, East"
695,Boulder East
696,Boulder Parker Mtn
697,Boulder West
698,Fishlake/Thousand Lakes East
699,Fishlake/Thousand Lakes West
700,West Box Elder County
701,Rich County B
702,"Diamond, Blue Mtn"
703,Parker Mtn
704,East Box Elder County
705,Cache County (Sandhill crane)
706,Rich County C
707,Uintah County B
708,Northeast Box Elder County (Sharp-tailed grouse)
709,Cache County (Sharp-tailed grouse)
712,Northern goose area
713,Wasatch Front goose area
715,Cache/Morgan-South Rich/Ogden
716,"Nebo/Wasatch Mtns, West"
717,"Mt Dutton/Paunsaugunt, Johns Valley"
718,"Panguitch Lake/Zion, North"
719,Parker Mtn 1
720,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos"
721,TL Bar Ranch
722,"Beaver, Beaver Valley"
723,"Monroe, Koosharem Valley"
724,Monroe/Mt Dutton/Plateau
725,"Mt Dutton/Paunsaugunt, Johns Valley C"
734,Jump Creek
739,RLF Deep Creek
742,"Wasatch Mtns, North"
743,Wasatch Mtns/Central Mtns
747,"Book Cliffs, Bitter Creek East"
750,"Cache, Cache Valley Northeast Benches"
751,"San Rafael, South-Dirty Devil"
754,Alton/North Fork
755,"Box Elder, West"
756,"San Rafael, South"
757,Bountiful
758,Cache East
759,Cache West
761,Enterprise
762,Escalante
763,Fillmore (turkey)
764,Honeyville
765,Kanosh
766,Mantua
767,Morgan
768,North Ash Creek
769,Ogden Valley
770,Parowan/Summit
771,Pinto
772,Tropic
773,KANE County
774,MILLARD County
775,SANPETE County
776,CARBON County
777,UTAH County
778,CACHE County A
779,SUMMIT County
780,WASHINGTON County
781,GRAND County
782,UINTAH County A
783,TOOELE County
784,SEVIER County
785,GARFIELD County
786,SAN JUAN County
787,BOX ELDER County
788,IRON County
789,WEBER County
790,EMERY County
791,RICH County A
792,WASATCH County
793,BEAVER County
794,DAGGETT County
795,DAVIS County
796,WAYNE County
797,PIUTE County
798,MORGAN County
799,SALT LAKE County
800,DUCHESNE County
801,JUAB County
803,Cache Laketown Extended Archery
804,Fillmore
809,"Box Elder, East"
810,Ephraim
811,"Ferron Canyon, East"
812,"Ogden, West"
813,"San Rafael, North-Cleveland"
814,"Vernal, Mosby Mtn"
815,"Panguitch Lake, Markagunt Plateau"
816,"Panguitch Lake, Sandy Creek"
817,"Wasatch Mtns, Avintaquin-White River"
820,"Nine Mile, Jack Creek"
821,"Nine Mile, Gray Canyon"
823,"North Slope, Bare Top/West Daggett"
824,Cottonwood Ridge
829,Snowville Flat
830,Cedar Springs
831,"Beaver, North"
832,Ferron Canyon Southeast
836,Last Chance Desert
837,Mt Dutton/Plateau
838,"Paunsaugunt, Hatch Bench"
843,Boulder-Fishlake
846,Northern duck zone
847,Southern goose area
848,Southern duck zone
849,Southeastern Region (fall turkey)
850,"Beaver, West Pine Creek"
851,West Mountain Extended Archery Area
852,Monticello Extended Archery Area
853,Green River Extended Archery Area
854,Nebo/Wasatch Mtns
855,Oquirrh Extended Archery Area
857,Southeastern Region-Navajo buck deer
860,"Nine Mile, Avintaquin-West Anthro"
861,"Manti, West"
862,"Manti, South"
863,"Fillmore, Kanosh Valley"
867,"Box Elder, Grouse Creek"
868,"Box Elder, Sawtooth"
869,Barney Top/Kaiparowits
870,Boulder Elk
871,"Southwest Desert, North"
872,"Southwest Desert, South"
873,"Parker Mtn, Highlands"
879,"LaSal, Mtns-North"
880,"Vernal, Buckskin Hills-Jensen"
882,"Nine Mile, Anthro Pleasant Valley"
883,Uinta Basin
884,Southeastern Region (Turkey LE)
885,Southern Region (Turkey LE)
886,Northeastern Region (Turkey LE)
887,Central Region (Turkey LE)
888,Northern Region (Turkey LE)
893,"Southwest Desert, Burbank/Garrison"
894,"Southwest Desert, Desert Experimental Range"
896,Escalante
897,Oak City
898,Central Region (fall turkey)
899,"Book Cliffs, Bitter Creek/East"
900,West Desert_StagingBoundary
901,Nebo/San Pitch Mtns
902,Valley Mtns
903,Shoshone Aborigonal Lands
904,West Desert
911,Northern Region (fall turkey)
912,Northern Region (fall turkey)
913,Northern Region (fall turkey)
914,Northern Region (fall turkey)
915,Northern Region (fall turkey)
916,Northern Region (fall turkey)
918,Green River Flat
919,Prohibition Springs
920,"Wasatch Mtns, Tabby Mtn"
921,"Wasatch Mtns, Rabbit Gulch"
924,Ogden (excludes Hyrum)
931,Uinta Basin Private Lands Any Bull Elk
933,"Escalante, East"
934,"Escalante, West"
937,"Wasatch Mtns, Salt Lake-Timpanogos"
938,"Manti, Ferron-Nelson Mtn"
939,"Ogden, North"
