row_number,hunt_code,hunt_name,species,sex_type,weapon,database_boundary_id_before,boundary_index_boundary_id,boundary_index_source_file,boundary_index_geojson_path,action
2,BI6500,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,1,1,bison_hunt_table_official.json,processed_data/boundaries/BI6500.geojson,ok_existing_match
3,DB0009,Antelope Island - Conservation/Expo,Deer,Buck,Any Legal Weapon,1,1,hunt_boundaries.geojson,processed_data/boundaries/DB0009.geojson,ok_existing_match
4,DB1002,Antelope Island Premium,Deer,Buck,Any Legal Weapon,1,1,hunt_boundaries.geojson,processed_data/boundaries/DB1002.geojson,ok_existing_match
5,DB1121,Antelope Island Management,Deer,Buck,Any Legal Weapon,1,1,hunt_boundaries.geojson,processed_data/boundaries/DB1121.geojson,ok_existing_match
6,RS1000,Antelope Island Conservation,Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,1,1,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RS1000.geojson,ok_existing_match
7,RS6700,Antelope Island,Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,1,1,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RS6700.geojson,ok_existing_match
8,DA1041,"Nine Mile, Green River Valley",Deer,Antlerless,Any Legal Weapon,6,6,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/DA1041.geojson,ok_existing_match
9,BR1008,Book Cliffs,Black Bear,Either Sex,Pursuit Only,7,7,black_bear_hunt_table_official.json,processed_data/boundaries/BR1008.geojson,ok_existing_match
10,BR1011,Book Cliffs,Black Bear,Either Sex,Pursuit Only,7,7,black_bear_hunt_table_official.json,processed_data/boundaries/BR1011.geojson,ok_existing_match
11,BR1015,Book Cliffs,Black Bear,Either Sex,Pursuit Only,7,7,black_bear_hunt_table_official.json,processed_data/boundaries/BR1015.geojson,ok_existing_match
12,DB1011,Book Cliffs,Deer,Buck,Archery,7,7,hunt_boundaries.geojson,processed_data/boundaries/DB1011.geojson,ok_existing_match
13,DB1025,Book Cliffs,Deer,Buck,Muzzleloader,7,7,hunt_boundaries.geojson,processed_data/boundaries/DB1025.geojson,ok_existing_match
14,DB1044,Book Cliffs,Deer,Buck,Multiseason,7,7,hunt_boundaries.geojson,processed_data/boundaries/DB1044.geojson,ok_existing_match
15,DB1056,Book Cliffs (North & South),Deer,Buck,Any Legal Weapon,7,7,hunt_boundaries.geojson,processed_data/boundaries/DB1056.geojson,ok_existing_match
16,DB1075,Book Cliffs (North & South),Deer,Buck,Archery,7,7,hunt_boundaries.geojson,processed_data/boundaries/DB1075.geojson,ok_existing_match
17,DB1076,Book Cliffs (North & South),Deer,Buck,Muzzleloader,7,7,hunt_boundaries.geojson,processed_data/boundaries/DB1076.geojson,ok_existing_match
18,DA1030,"Nine Mile, Price River Valley",Deer,Antlerless,Archery,11,11,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/DA1030.geojson,ok_existing_match
19,DA1046,"Nine Mile, Price River Valley",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",11,11,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/DA1046.geojson,ok_existing_match
20,BR7102,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Any Legal Weapon,12,12,black_bear_hunt_table_official.json,processed_data/boundaries/BR7102.geojson,ok_existing_match
21,BR7224,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Any Legal Weapon,12,12,black_bear_hunt_table_official.json,processed_data/boundaries/BR7224.geojson,ok_existing_match
22,BR7225,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Any Legal Weapon,12,12,black_bear_hunt_table_official.json,processed_data/boundaries/BR7225.geojson,ok_existing_match
23,BR7301,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Multiseason,12,12,black_bear_hunt_table_official.json,processed_data/boundaries/BR7301.geojson,ok_existing_match
24,EB3002,"Book Cliffs, Little Creek Roadless",Elk,Bull,Archery,12,12,elk_hunt_table_official.json,processed_data/boundaries/EB3002.geojson,ok_existing_match
25,EB3028,"Book Cliffs, Little Creek Roadless",Elk,Bull,Early Any Legal Weapon,12,12,elk_hunt_table_official.json,processed_data/boundaries/EB3028.geojson,ok_existing_match
26,EB3079,"Book Cliffs, Little Creek Roadless",Elk,Bull,Muzzleloader,12,12,elk_hunt_table_official.json,processed_data/boundaries/EB3079.geojson,ok_existing_match
27,EB3104,"Book Cliffs, Little Creek Roadless",Elk,Bull,Multiseason,12,12,elk_hunt_table_official.json,processed_data/boundaries/EB3104.geojson,ok_existing_match
28,EB3167,"Book Cliffs, Little Creek Roadless",Elk,Bull,Mid Any Legal Weapon,12,12,elk_hunt_table_official.json,processed_data/boundaries/EB3167.geojson,ok_existing_match
29,EL3002,Book Cliffs Little Creek Roadless,Elk,Bull,Archery,12,12,elk_hunt_table_official.json,processed_data/boundaries/EL3002.geojson,ok_existing_match
30,EL3028,Book Cliffs Little Creek Roadless,Elk,Bull,Any Legal Weapon,12,12,elk_hunt_table_official.json,processed_data/boundaries/EL3028.geojson,ok_existing_match
