boundary_id,arcgis_hunt_numbers,arcgis_boundary_names,arcgis_seasons
532,DB1262,Missouri Flat CWMU,
563,DB1316,Hell Canyon CWMU,
587,DB1226,Crab Creek CWMU,
591,DB1311,Wood Canyon CWMU,
687,DB1319,Sage Valley Outfitters CWMU,
738,DB1278,Powder Mountain CWMU,
9022,CG0999,Cougar Pursuit,
9291,CG0999,Cougar Pursuit,
