boundary_id,hunt_units_boundary_name,arcgis_hunt_count,arcgis_hunt_numbers,arcgis_boundary_names,arcgis_seasons,arcgis_boundary_name_match
449,"Book Cliffs, Bitter Creek/South",9,BI6522|BI6523|BR1000|BR1001|BR7001|BR7101|BR7201|BR7222|BR7300,"Black Bear - Statewide Permit|Black Bear Harvest Objective Units|Book Cliffs, Bitter Creek/South","Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026|Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026|March 28 - May 25, 2026|May 25 - June 28, 2026|Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",True
607,Box Elder,3,DB1060|DB1077|DB1501,Box Elder,Aug 15 2026 - Sept 11 2026|Oct 28 2026 - Nov 05 2026,True
610,Chalk Creek/East Canyon/Morgan-South Rich,7,BR1000|BR1001|BR7019|BR7324|BR7325|DB0007|DB1027,Black Bear - Statewide Permit|Black Bear Harvest Objective Units|Buck Deer - Statewide Permit|Chalk Creek/East Canyon/Morgan-South Rich,"Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",True
612,North Slope,2,DB0007|DB1065,Buck Deer - Statewide Permit|North Slope,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Oct 28 2026 - Nov 05 2026",True
615,Nine Mile,13,BI6527|BI6538|BR1000|BR1001|BR1002|BR1007|BR1014|BR1018|BR7110|BR7211|BR7317|DB0007|DB1033,"Black Bear - Statewide Permit|Black Bear Harvest Objective Units|Black Bear Pursuit - Nonresident|Black Bear Pursuit - Resident|Buck Deer - Statewide Permit|Nine Mile|Nine Mile, Private Lands Only","Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026|Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|May 25 - June 28, 2026|Oct 28 2026 - Nov 05 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026|Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",True
616,Nebo,13,BR1000|BR1001|BR1007|BR1018|BR7005|BR7106|BR7205|BR7233|BR7305|CG0002|CG7510|DB1063|DB1080,Black Bear - Statewide Permit|Black Bear Harvest Objective Units|Black Bear Pursuit - Nonresident|Black Bear Pursuit - Resident|Nebo|Nebo and Nebo-West Face Conservation,"Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026|Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|March 28 - May 25, 2026|May 25 - June 28, 2026|Oct 28 2026 - Nov 05 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026|Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",True
618,"San Juan, Abajo Mtns",2,DB1068|DB1085,"San Juan, Abajo Mtns",Oct 28 2026 - Nov 05 2026,True
620,"Wasatch Mtns, West",2,DB1070|DB1087,"Wasatch Mtns, West",Oct 28 2026 - Nov 05 2026,True
621,"Wasatch Mtns, East",2,DB0007|DB1041,"Buck Deer - Statewide Permit|Wasatch Mtns, East","Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Oct 28 2026 - Nov 05 2026",True
623,"West Desert, West",2,DB1072|DB1089,"West Desert, West",,True
