file,row_number,before,after,source_rule
data_truth\finalized_point_distribution.csv,233070,"{""applicants"": ""8"", ""hunt_code"": ""MA1000"", ""model_year"": ""2023"", ""permits"": ""0"", ""point_level"": ""16"", ""residency"": ""resident"", ""source_file"": ""2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf"", ""source_sheet"": ""CSV_ROW_42148"", ""success_rate"": """", ""year"": ""2022""}","{""applicants"": ""8"", ""hunt_code"": ""MA1000"", ""model_year"": ""2023"", ""permits"": ""2"", ""point_level"": ""16"", ""residency"": ""resident"", ""source_file"": ""2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf"", ""source_sheet"": ""CSV_ROW_42148"", ""success_rate"": ""25"", ""year"": ""2022""}","effective_permits=max(total_permits,bonus_permits+regular_permits)_from_accepted_normalized_source"
data_truth\finalized_point_distribution.csv,233138,"{""applicants"": ""43"", ""hunt_code"": ""MA1006"", ""model_year"": ""2023"", ""permits"": ""0"", ""point_level"": ""16"", ""residency"": ""resident"", ""source_file"": ""2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf"", ""source_sheet"": ""CSV_ROW_42220"", ""success_rate"": """", ""year"": ""2022""}","{""applicants"": ""43"", ""hunt_code"": ""MA1006"", ""model_year"": ""2023"", ""permits"": ""5"", ""point_level"": ""16"", ""residency"": ""resident"", ""source_file"": ""2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf"", ""source_sheet"": ""CSV_ROW_42220"", ""success_rate"": ""11.62790698"", ""year"": ""2022""}","effective_permits=max(total_permits,bonus_permits+regular_permits)_from_accepted_normalized_source"
data_truth\finalized_draw_truth_ALL.csv,243373,"{""applicants"": ""8"", ""hunt_code"": ""MA1000"", ""model_year"": ""2023"", ""permits"": ""0"", ""source_file"": ""2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf"", ""source_sheet"": ""CSV_ROW_42148"", ""success_rate"": """", ""year"": ""2022""}","{""applicants"": ""8"", ""hunt_code"": ""MA1000"", ""model_year"": ""2023"", ""permits"": ""2"", ""source_file"": ""2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf"", ""source_sheet"": ""CSV_ROW_42148"", ""success_rate"": ""25"", ""year"": ""2022""}","effective_permits=max(total_permits,bonus_permits+regular_permits)_from_accepted_normalized_source"
data_truth\finalized_draw_truth_ALL.csv,243445,"{""applicants"": ""43"", ""hunt_code"": ""MA1006"", ""model_year"": ""2023"", ""permits"": ""0"", ""source_file"": ""2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf"", ""source_sheet"": ""CSV_ROW_42220"", ""success_rate"": """", ""year"": ""2022""}","{""applicants"": ""43"", ""hunt_code"": ""MA1006"", ""model_year"": ""2023"", ""permits"": ""5"", ""source_file"": ""2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf"", ""source_sheet"": ""CSV_ROW_42220"", ""success_rate"": ""11.62790698"", ""year"": ""2022""}","effective_permits=max(total_permits,bonus_permits+regular_permits)_from_accepted_normalized_source"
