year,row_number,hunt_code,hunt_name,species,sex_type,hunt_type,new_weapon,reason
2019,32976,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32977,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32978,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32979,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32980,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32981,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32982,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32983,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32984,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32985,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32986,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32987,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32988,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32989,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32990,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32991,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32992,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32993,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32994,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32995,CG7506,Strawberry,Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32997,CG7507,"Central Mtns, Northwest Manti",Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32998,CG7507,"Central Mtns, Northwest Manti",Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,32999,CG7507,"Central Mtns, Northwest Manti",Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,33000,CG7507,"Central Mtns, Northwest Manti",Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
2019,33001,CG7507,"Central Mtns, Northwest Manti",Cougar,Either Sex,Limited Entry,Any Legal Weapon,legacy cougar draw rows are any legal weapon
