row_number,hunt_code,hunt_name,species,sex_type,source_file,new_weapon,reason
1640,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1641,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1642,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1643,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1644,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1645,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1646,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1647,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1648,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1649,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1650,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
