hunt_code,residency,points
DA1047,Nonresident,17
DA1047,Nonresident,18
DA1047,Nonresident,19
DA1047,Nonresident,20
DA1047,Resident,17
DA1047,Resident,18
DA1047,Resident,19
DA1047,Resident,20
EA1257,Nonresident,17
EA1257,Nonresident,18
EA1257,Nonresident,19
EA1257,Nonresident,20
EA1257,Resident,17
EA1257,Resident,18
EA1257,Resident,19
EA1257,Resident,20
MA1006,Nonresident,17
MA1006,Nonresident,18
MA1006,Nonresident,19
MA1006,Nonresident,20
MA1006,Resident,17
MA1006,Resident,18
MA1006,Resident,19
MA1006,Resident,20
PD1044,Nonresident,17
PD1044,Nonresident,18
PD1044,Nonresident,19
PD1044,Nonresident,20
PD1044,Resident,17
PD1044,Resident,18
PD1044,Resident,19
PD1044,Resident,20
