draw_year,model_year,bible_folder_year,document_name,family_group,source_role,source_file,pipeline_file,suffix,size_bytes,sha256,copy_status,is_truth_source,is_derived
2023,2024,2023,G.S. BUCK DEER DRAW RESULTS,GENERAL_SEASON,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,.pdf,463470,3ef46bf75fb105f6deeb76f70ebfe9b911a868fec81dec0ad7947f4fab905896,COPIED,true,false
2023,2024,2023,L.E. BIG GAME DRAW RESULTS,LE,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,.pdf,3041049,37a416f119c6cc24abbfd8ffc5c0bb65a9245212928033eaadf5b2dab93c3f51,COPIED,true,false
2023,2024,2023,L.E. DEER DRAW RESULTS,LE,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__L.E. DEER DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__L.E. DEER DRAW RESULTS.pdf,.pdf,1035675,28fa5044b223d223e734157f7001449ed7455c9f18d5d0e8fd0c75b93e489192,COPIED,true,false
2023,2024,2023,L.E. ELK DRAW RESULTS,LE,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__L.E. ELK DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__L.E. ELK DRAW RESULTS.pdf,.pdf,1164755,8e9c186d8ab21a71126105ad317e2d82aa44ca54716cb62af87fe4b8a7722fc5,COPIED,true,false
2023,2024,2023,L.E. PRONGHORN DRAW RESULTS,LE,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__L.E. PRONGHORN DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__L.E. PRONGHORN DRAW RESULTS.pdf,.pdf,533191,d163a090d9f2a53174b4c297ec6781c8be60cf2d8853c507e4e127685a44f8ce,COPIED,true,false
2023,2024,2023,LIFETIME G.S. DEER DRAW RESULTS,GENERAL_SEASON,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,.pdf,412919,3a6dbf9f7f3b1b8f995a2685521812027effc7a92067609311107e80d6933c19,COPIED,true,false
2023,2024,2023,O.I.L. BISON DRAW RESULTS,OIL,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__O.I.L. BISON DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__O.I.L. BISON DRAW RESULTS.pdf,.pdf,197604,b40d5bac75acac76e6f13e2fccf0149062f046e7e7c0025e7fca193bbb72262e,COPIED,true,false
2023,2024,2023,O.I.L. BULL MOOSE DRAW RESULTS,OIL,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,.pdf,259825,cadaf4ff921aace01052f6ac2b3bb85702a76854e46abce42f93b5fc274ad23a,COPIED,true,false
2023,2024,2023,O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS,OIL,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,.pdf,191672,d9e11b3b2434191b65d4fbfdb90c74e150079de5082512695cfacebe17d58710,COPIED,true,false
2023,2024,2023,O.I.L. MTN GOAT DRAW RESULTS,OIL,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,.pdf,195011,64f9383b76b5d3ecd2580e80412c59aa3146da68eca169938d50a78b0e914672,COPIED,true,false
2023,2024,2023,O.I.L. ROCKY MTN SHEEP DRAW RESULTS,OIL,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,.pdf,181676,a84819fe39058bbe895d53874fb4aa9d847b35eec8dfdcde87384c3c07ee1dd7,COPIED,true,false
2023,2024,2023,SPORTSMAN DRAW RESULTS,SPORTSMAN,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,.pdf,102242,7899bf807dd1320f11b65aa568230f4e3c4120f5be7719b2d1376b6d3d7f4679,COPIED,true,false
2023,2024,2023,TURKEY DRAW RESULTS,TURKEY,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__TURKEY DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__TURKEY DRAW RESULTS.pdf,.pdf,131980,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,COPIED,true,false
