row_number,hunt_code,record_kind,year_before,year_after,actual_draw_year_before,actual_draw_year_after,source_report_family_before,source_report_family_after,reported_draw_year_before,reported_draw_year_after,model_target_year_before,model_target_year_after,numeric_fields_changed
2,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
3,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
4,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
5,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
6,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
7,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
8,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
9,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
10,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
11,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
12,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
13,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
14,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
15,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
16,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
17,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
18,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
19,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
20,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
21,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
22,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
23,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
24,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
25,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
26,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
27,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
28,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
29,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
30,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
31,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
32,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
33,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
34,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
35,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
36,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
37,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
38,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
39,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
40,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
41,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
42,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
43,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
44,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
45,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
46,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
47,BR1008,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
48,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
49,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
50,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
51,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
52,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
53,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
54,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
55,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
56,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
57,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
58,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
59,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
60,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
61,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
62,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
63,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
64,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
65,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
66,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
67,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
68,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
69,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
70,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
71,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
