hunt_code,hunt_name,blank_rows,resolution_status,resolved_boundary_id,arcgis_evidence
DB1500,Beaver,66,exact_hunt_code,628,628:Beaver
DB1515,Oquirrh-stansbury,66,exact_boundary_name,622,622:Oquirrh-Stansbury via CG7504; 622:Oquirrh-Stansbury via DB1066; 622:Oquirrh-Stansbury via DB1082
DB1520,Thousand Lakes,66,exact_boundary_name,632,632:Thousand Lakes via CG7620; 632:Thousand Lakes via DB1036; 632:Thousand Lakes via DB1106; 632:Thousand Lakes via DB1107; 632:Thousand Lakes via DB1108; 632:Thousand Lakes via DB1109
DB1527,"West Desert, Tintic",66,exact_boundary_name,624,"624:West Desert, Tintic via DB1071; 624:West Desert, Tintic via DB1088"
DB1528,"West Desert, West",66,exact_boundary_name,623,"623:West Desert, West via DB1072; 623:West Desert, West via DB1089"
DB1530,Beaver,66,exact_boundary_name,628,628:Beaver via BR7000; 628:Beaver via BR7100; 628:Beaver via BR7200; 628:Beaver via BR7318; 628:Beaver via CG7600; 628:Beaver via DB1059; 628:Beaver via DB1500
DB1532,Cache,66,exact_boundary_name,29,29:Cache via CG1004; 29:Cache via DB1061; 29:Cache via DB1078; 29:Cache via DB1502
DB1545,Oquirrh-stansbury,66,exact_boundary_name,622,622:Oquirrh-Stansbury via CG7504; 622:Oquirrh-Stansbury via DB1066; 622:Oquirrh-Stansbury via DB1082
DB1548,Boulder/kaiparowits,66,exact_boundary_name,455,455:Boulder/Kaiparowits via BR7012; 455:Boulder/Kaiparowits via BR7114; 455:Boulder/Kaiparowits via BR7215; 455:Boulder/Kaiparowits via BR7236; 455:Boulder/Kaiparowits via BR7310; 455:Boulder/Kaiparowits via DB1035; 455:Boulder/Kaiparowits via DB1084
DB1550,Thousand Lakes,66,exact_boundary_name,632,632:Thousand Lakes via CG7620; 632:Thousand Lakes via DB1036; 632:Thousand Lakes via DB1106; 632:Thousand Lakes via DB1107; 632:Thousand Lakes via DB1108; 632:Thousand Lakes via DB1109
DB1557,"West Desert, Tintic",66,exact_boundary_name,624,"624:West Desert, Tintic via DB1071; 624:West Desert, Tintic via DB1088"
DB1558,"West Desert, West",66,exact_boundary_name,623,"623:West Desert, West via DB1072; 623:West Desert, West via DB1089"
DB1560,Beaver,66,exact_boundary_name,628,628:Beaver via BR7000; 628:Beaver via BR7100; 628:Beaver via BR7200; 628:Beaver via BR7318; 628:Beaver via CG7600; 628:Beaver via DB1059; 628:Beaver via DB1500
DB1562,Cache,66,exact_boundary_name,29,29:Cache via CG1004; 29:Cache via DB1061; 29:Cache via DB1078; 29:Cache via DB1502
DB1575,Oquirrh-stansbury,66,exact_boundary_name,622,622:Oquirrh-Stansbury via CG7504; 622:Oquirrh-Stansbury via DB1066; 622:Oquirrh-Stansbury via DB1082
DB1578,Boulder/kaiparowits,66,exact_boundary_name,455,455:Boulder/Kaiparowits via BR7012; 455:Boulder/Kaiparowits via BR7114; 455:Boulder/Kaiparowits via BR7215; 455:Boulder/Kaiparowits via BR7236; 455:Boulder/Kaiparowits via BR7310; 455:Boulder/Kaiparowits via DB1035; 455:Boulder/Kaiparowits via DB1084
DB1580,Thousand Lakes,66,exact_boundary_name,632,632:Thousand Lakes via CG7620; 632:Thousand Lakes via DB1036; 632:Thousand Lakes via DB1106; 632:Thousand Lakes via DB1107; 632:Thousand Lakes via DB1108; 632:Thousand Lakes via DB1109
DB1587,"West Desert, Tintic",66,exact_boundary_name,624,"624:West Desert, Tintic via DB1071; 624:West Desert, Tintic via DB1088"
DB1588,"West Desert, West",66,exact_boundary_name,623,"623:West Desert, West via DB1072; 623:West Desert, West via DB1089"
DB1769,Beaver,42,exact_boundary_name,628,628:Beaver via BR7000; 628:Beaver via BR7100; 628:Beaver via BR7200; 628:Beaver via BR7318; 628:Beaver via CG7600; 628:Beaver via DB1059; 628:Beaver via DB1500
DB1784,Oquirrh-stansbury,42,exact_boundary_name,622,622:Oquirrh-Stansbury via CG7504; 622:Oquirrh-Stansbury via DB1066; 622:Oquirrh-Stansbury via DB1082
DB1789,Thousand Lakes,21,exact_boundary_name,632,632:Thousand Lakes via CG7620; 632:Thousand Lakes via DB1036; 632:Thousand Lakes via DB1106; 632:Thousand Lakes via DB1107; 632:Thousand Lakes via DB1108; 632:Thousand Lakes via DB1109
DB1796,"West Desert, Tintic",42,exact_boundary_name,624,"624:West Desert, Tintic via DB1071; 624:West Desert, Tintic via DB1088"
DB1797,"West Desert, West",21,exact_boundary_name,623,"623:West Desert, West via DB1072; 623:West Desert, West via DB1089"
