year,model_year,canonical_yearly_path,rows,columns,size_mb,unique_hunt_codes,blank_hunt_code,blank_year,wrong_year,duplicate_strict_key_groups,exact_duplicate_row_groups,cg9999_rows,source_identity_count,sha256
2019,2020,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2019_for_2020_canonical_yearly_draw_results.csv,66945,55,42.9,1054,0,0,0,0,0,0,14,151ff393d36aed8ab4d791f040107fbf4cbaa6c6d54319488672f82bdc62d323
2020,2021,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2020_for_2021_canonical_yearly_draw_results.csv,66715,55,43.269,1028,0,0,0,0,0,0,14,9c9e3f6fafcb167a884ec199155ddd3b9200dd41d36a5b920ed88afb67915595
2021,2022,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2021_for_2022_canonical_yearly_draw_results.csv,67565,55,29.589,1022,0,0,0,0,0,0,14,e96afc00ac55b541bc625a2eba6efb9e0466d10f64a0b56dc430b36ec466a189
2022,2023,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,69741,55,32.017,1020,0,0,0,0,0,0,14,8fad309a7fb091ddeb3eadf1f75ef29173b31e357c5ac4b214aac40bcd6afe11
2023,2024,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2023_for_2024_canonical_yearly_draw_results.csv,71658,55,61.036,1035,0,0,0,0,0,1,20,7b0b15d45ebedc6f9d2605523ed53c856ebdcdaf6678e62a23a34f5ff0c1e176
2024,2025,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,86659,55,57.344,1028,0,0,0,0,0,1,28,ebf67e2f10be3dd1cca3366c8b34e7f9c159620743cef0682b69cdf6a3329e09
2025,2026,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2025_for_2026_canonical_yearly_draw_results.csv,75598,55,55.808,1064,0,0,0,0,0,1,28,35496e7af4347b6a3b3ba31c3b5607e78093d0896a4afc84f32166e453f01943
2026,2027,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2026_for_2027_canonical_yearly_draw_results.csv,30298,55,28.903,847,0,0,0,0,0,0,31,e60afce6e33484c1fbddfc3134ebc1f63b9b04d11ef925af76eab2e7b8301ba2
