hunt_code,boundary_id,boundary_id_2024,boundary_id_2023,boundary_id_2021,boundary_id_2022,hunt_name,hunt_name_2024,hunt_name_2023,hunt_name_2021,hunt_name_2022,sex_type,species,weapon,hunt_type,hunt_class,season,NOTES,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_source,permits_2026_draw_source,draw_2026_system_type,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,percent_harvest_success_previous_hunting_season,current_age_3yr_average,average_harvest_age,average_harvest_age_reported_hunt_year,average_harvest_age_source_file,average_harvest_age_review_status,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,conservation_permits_2026_total,conservation_permits_2026_source,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source,permits_2019_res,permits_2019_nr,permits_2019_total,permits_2019_source,permits_2020_res,permits_2020_nr,permits_2020_total,permits_2020_source,permits_2021_res,permits_2021_nr,permits_2021_total,permits_2021_source,permits_2022_res,permits_2022_nr,permits_2022_total,permits_2022_source,permits_2023_res,permits_2023_nr,permits_2023_total,permits_2023_source,permits_2026_res,permits_2026_nr,permits_2026_total
BI6501,7,,,,,Book Cliffs,,,,,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-Lifetime,BIG_GAME_BISON,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,9,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
BI6508,7,,,,,Book Cliffs,,,,,Cow Only,Bison,Any Legal Weapon,Once-in-a-Lifetime,BIG_GAME_BISON,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,24,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
BI6518,7,,,,,Book Cliffs,,,,,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-Lifetime,BIG_GAME_BISON,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,16,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG1013,163,,,,,Paunsaugunt,,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,10,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG7500,446,,,,,"Central Mtns, Southwest Manti",,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,18,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG7505,711,,,,,North,,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,15,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG7507,59,,,,,"Central Mtns, Northwest Manti",,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,12,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG7606,57,,,,,West Face,,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,18,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG7607,445,,,,,"Central Mtns, Northeast Manti",,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,15,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG7609,63,,,,,"Central Mtns, Southeast Manti",,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,25,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG7611,88,,,,,"Fillmore, Pahvant",,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,18,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG7618,172,,,,,"Plateau, Boulder",,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,15,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
CG7620,632,,,,,"Plateau, Thousand Lakes",,,,,Either Sex,Cougar,Any Legal Weapon,Limited Entry,COUGAR,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1010,252,,,,,"Zion, Northwest Zion",,,,,Antlerless,Deer,Any Legal Weapon,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1,40,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1016,835,,,,,"Plateau, East Angle",,,,,Antlerless,Deer,Any Legal Weapon,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,5,40,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1020,841,,,,,"Pine Valley, Quichapa",,,,,Antlerless,Deer,Any Legal Weapon,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,7,64,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1021,841,,,,,"Pine Valley, Quichapa",,,,,Antlerless,Deer,Any Legal Weapon,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,5,64,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1022,842,,,,,"Plateau, Antimony",,,,,Antlerless,Deer,Any Legal Weapon,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,40,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1023,842,,,,,"Plateau, Antimony",,,,,Antlerless,Deer,Any Legal Weapon,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,40,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1024,844,,,,,"Plateau, Fremont River Valley",,,,,Antlerless,Deer,Archery,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,4,41,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1025,252,,,,,"Zion, Northwest Zion",,,,,Antlerless,Deer,Any Legal Weapon,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,24,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1032,22,,,,,"Panguitch Lake, Parowan Front",,,,,Antlerless,Deer,Any Legal Weapon,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,80,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
DA1035,31,,,,,"Southwest Desert, Garrison",,,,,Antlerless,Deer,Any Legal Weapon,Limited Entry,ANTLERLESS_DEER,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,12,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
EA1003,899,,,,,"Book Cliffs, Bitter Creek East",,,,,Antlerless,Elk,Any Legal Weapon,Limited Entry,ANTLERLESS_ELK,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,49,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
EA1014,810,,,,,"Central Mtns, Ephraim",,,,,Antlerless,Elk,Any Legal Weapon,Limited Entry,ANTLERLESS_ELK,,RETIRED_HISTORICAL_LOOKUP_ROW; added from 2019 canonical promotion audit; not a live/current 2026 hunt row; do not use for 2026 permit allotment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2,38,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL;HISTORICAL_DATABASE_BACKFILL_FROM_2019_CANONICAL,,,,,,,,,,,,,,,,,,,
