"local_path","bytes","mb","content_type","r2_uri","public_url","uploaded_at"
"processed_data/audits/library_page_build_report.json","15747","0.02","application/json","r2://uoga-data/hunt-builder/processed_data/audits/library_page_build_report.json","https://json.uoga.workers.dev/hunt-builder/processed_data/audits/library_page_build_report.json","2026-06-21T07:51:44"
"processed_data/hard_data_exports/library/hard_data_manifest.csv","6362","0.01","text/csv","r2://uoga-data/hunt-builder/processed_data/hard_data_exports/library/hard_data_manifest.csv","https://json.uoga.workers.dev/hunt-builder/processed_data/hard_data_exports/library/hard_data_manifest.csv","2026-06-21T07:51:47"
"processed_data/hard_data_exports/library/hard_data_manifest.json","15747","0.02","application/json","r2://uoga-data/hunt-builder/processed_data/hard_data_exports/library/hard_data_manifest.json","https://json.uoga.workers.dev/hunt-builder/processed_data/hard_data_exports/library/hard_data_manifest.json","2026-06-21T07:51:49"
"processed_data/hard_data_exports/library/library_page_summary.json","15747","0.02","application/json","r2://uoga-data/hunt-builder/processed_data/hard_data_exports/library/library_page_summary.json","https://json.uoga.workers.dev/hunt-builder/processed_data/hard_data_exports/library/library_page_summary.json","2026-06-21T07:51:51"
"processed_data/library/hard_data_library_manifest.csv","6362","0.01","text/csv","r2://uoga-data/hunt-builder/processed_data/library/hard_data_library_manifest.csv","https://json.uoga.workers.dev/hunt-builder/processed_data/library/hard_data_library_manifest.csv","2026-06-21T07:51:53"
"processed_data/library/hard_data_library_manifest.json","15747","0.02","application/json","r2://uoga-data/hunt-builder/processed_data/library/hard_data_library_manifest.json","https://json.uoga.workers.dev/hunt-builder/processed_data/library/hard_data_library_manifest.json","2026-06-21T07:51:54"
"processed_data/library/library_page_summary.json","15747","0.02","application/json","r2://uoga-data/hunt-builder/processed_data/library/library_page_summary.json","https://json.uoga.workers.dev/hunt-builder/processed_data/library/library_page_summary.json","2026-06-21T07:51:56"
"processed_data/production/library_page_summary.json","15747","0.02","application/json","r2://uoga-data/hunt-builder/processed_data/production/library_page_summary.json","https://json.uoga.workers.dev/hunt-builder/processed_data/production/library_page_summary.json","2026-06-21T07:51:58"
"processed_data/public_contracts/hunt_application_outlook.json","3348628","3.19","application/json","r2://uoga-data/hunt-builder/processed_data/public_contracts/hunt_application_outlook.json","https://json.uoga.workers.dev/hunt-builder/processed_data/public_contracts/hunt_application_outlook.json","2026-06-21T07:51:59"
"processed_data/public_contracts/hunt_predictions.json","20864686","19.9","application/json","r2://uoga-data/hunt-builder/processed_data/public_contracts/hunt_predictions.json","https://json.uoga.workers.dev/hunt-builder/processed_data/public_contracts/hunt_predictions.json","2026-06-21T07:52:02"
"processed_data/public_contracts/public_contract_summary.json","1334","0","application/json","r2://uoga-data/hunt-builder/processed_data/public_contracts/public_contract_summary.json","https://json.uoga.workers.dev/hunt-builder/processed_data/public_contracts/public_contract_summary.json","2026-06-21T07:52:03"
"processed_data/public_contracts/source_snapshots.json","4636","0","application/json","r2://uoga-data/hunt-builder/processed_data/public_contracts/source_snapshots.json","https://json.uoga.workers.dev/hunt-builder/processed_data/public_contracts/source_snapshots.json","2026-06-21T07:52:05"
"public/hard-copy/data/library_page_summary.json","15747","0.02","application/json","r2://uoga-data/hunt-builder/public/hard-copy/data/library_page_summary.json","https://json.uoga.workers.dev/hunt-builder/public/hard-copy/data/library_page_summary.json","2026-06-21T07:52:06"
"public/hard-copy/manifests/hard_data_manifest.csv","6362","0.01","text/csv","r2://uoga-data/hunt-builder/public/hard-copy/manifests/hard_data_manifest.csv","https://json.uoga.workers.dev/hunt-builder/public/hard-copy/manifests/hard_data_manifest.csv","2026-06-21T07:52:08"
"public/hard-copy/manifests/hard_data_manifest.json","15747","0.02","application/json","r2://uoga-data/hunt-builder/public/hard-copy/manifests/hard_data_manifest.json","https://json.uoga.workers.dev/hunt-builder/public/hard-copy/manifests/hard_data_manifest.json","2026-06-21T07:52:09"
"scripts/build-public-data-contracts.js","24780","0.02","application/octet-stream","r2://uoga-data/hunt-builder/scripts/build-public-data-contracts.js","https://json.uoga.workers.dev/hunt-builder/scripts/build-public-data-contracts.js","2026-06-21T07:52:11"
