report_year,draw_year,model_year,source_file,source_extension,source_location,source_label,source_family,hunt_code_raw,comparison_hunt_code,prefix,species_from_prefix,hunt_title_or_row_text,unit_or_area_inferred,weapon_or_last_segment_inferred,sex_type,hunt_type,weapon,resident_permits_drawn,nonresident_permits_drawn,total_permits_drawn,permit_parse_status,hunt_code_review_status,candidate_normalized_hunt_code,source_priority
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_13,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1017,DA1017,DA,Antlerless Deer,"Hunt: DA1017 Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon","Pine Valley, Enterprise",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,19,1,20,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_14,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1018,DA1018,DA,Antlerless Deer,"Hunt: DA1018 Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only","Pine Valley, New Harmony","Archery, Mzldr, Shotgn Only",Antlerless,Antlerless,"Archery, Mzldr, Shotgn Only",25,3,28,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_15,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1026,DA1026,DA,Antlerless Deer,Hunt: DA1026 Antlerless Deer - Chalk Creek - Any Legal Weapon,Chalk Creek,Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,40,0,40,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_16,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1027,DA1027,DA,Antlerless Deer,"Hunt: DA1027 Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon","East Canyon, Davis-north Salt Lake",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,77,3,80,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_17,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1028,DA1028,DA,Antlerless Deer,"Hunt: DA1028 Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon","East Canyon, Davis-north Salt Lake",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,79,1,80,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_18,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1029,DA1029,DA,Antlerless Deer,"Hunt: DA1029 Antlerless Deer - Nine Mile, Green River Valley - Archery","Nine Mile, Green River Valley",Archery,Antlerless,Antlerless,Archery,9,0,9,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_19,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1030,DA1030,DA,Antlerless Deer,"Hunt: DA1030 Antlerless Deer - Nine Mile, Price River Valley - Archery","Nine Mile, Price River Valley",Archery,Antlerless,Antlerless,Archery,16,0,16,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_20,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1031,DA1031,DA,Antlerless Deer,"Hunt: DA1031 Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery","Oquirrh-stansbury, Settlement Cyn",Archery,Antlerless,Antlerless,Archery,19,1,20,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_21,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1033,DA1033,DA,Antlerless Deer,"Hunt: DA1033 Antlerless Deer - San Juan, Monticello - Archery","San Juan, Monticello",Archery,Antlerless,Antlerless,Archery,3,1,4,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_22,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1039,DA1039,DA,Antlerless Deer,Hunt: DA1039 Antlerless Deer - East Canyon - Any Legal Weapon,East Canyon,Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,40,0,40,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_23,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1040,DA1040,DA,Antlerless Deer,Hunt: DA1040 Antlerless Deer - East Canyon - Archery,East Canyon,Archery,Antlerless,Antlerless,Archery,48,1,49,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_24,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1041,DA1041,DA,Antlerless Deer,"Hunt: DA1041 Antlerless Deer - Nine Mile, Green River Valley - Any Legal Weapon","Nine Mile, Green River Valley",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,24,0,24,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_25,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1042,DA1042,DA,Antlerless Deer,"Hunt: DA1042 Antlerless Deer - San Juan, Monticello - Archery","San Juan, Monticello",Archery,Antlerless,Antlerless,Archery,4,0,4,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_26,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1043,DA1043,DA,Antlerless Deer,"Hunt: DA1043 Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgn Only","Southwest Desert, Cedar Valley","Archery, Mzldr, Shotgn Only",Antlerless,Antlerless,"Archery, Mzldr, Shotgn Only",11,1,12,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_27,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1044,DA1044,DA,Antlerless Deer,"Hunt: DA1044 Two Doe Antlerless Deer - South Slope, Myton - Any Legal Weapon","South Slope, Myton",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,160,0,160,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_28,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1045,DA1045,DA,Antlerless Deer,"Hunt: DA1045 Antlerless Deer - Fillmore, Oak City - Archery","Fillmore, Oak City",Archery,Antlerless,Antlerless,Archery,12,0,12,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
