from_report_year,to_report_year,from_model_year,to_model_year,from_hunt_code,to_hunt_code,from_prefix,to_prefix,compare_status,candidate_confidence,identity_score,from_species,to_species,from_unit_or_area,to_unit_or_area,from_weapon,to_weapon,from_title,to_title,from_source_files,to_source_files,recommended_next_action,notes
2023,2024,2024,2025,,DA1050,,DA,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Antlerless Deer,,,,,,Hunt: DA1050,,2024/.pdf/2024_PERMITS=2025_MODEL__ANTLERLESS DRAW RESULTS.pdf|2024/.pdf/2024_PERMITS=2025_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2023,2024,2024,2025,,DB1347,,DB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Buck Deer,,The Rose Of Snowville,,Any Legal Weapon,,Hunt: DB1347 Cwmu Buck Deer - The Rose Of Snowville - Any Legal Weapon,,2024/.pdf/2024_PERMITS=2025_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2024/.pdf/2024_PERMITS=2025_MODEL__L.E. DEER DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2023,2024,2024,2025,,DS6625,,DS,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Desert Bighorn Sheep,,Mineral Mtns,,Any Legal Weapon,,Hunt: DS6625 Desert Bighorn Sheep - Mineral Mtns - Any Legal Weapon,,2024/.pdf/2024_PERMITS=2025_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2024/.pdf/2024_PERMITS=2025_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2023,2024,2024,2025,,EA1260,,EA,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Antlerless Elk,,,,,,Hunt: EA1260,,2024/.pdf/2024_PERMITS=2025_MODEL__ANTLERLESS DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2023,2024,2024,2025,,EA1261,,EA,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Antlerless Elk,,,,,,Hunt: EA1261,,2024/.pdf/2024_PERMITS=2025_MODEL__ANTLERLESS DRAW RESULTS.pdf|2024/.pdf/2024_PERMITS=2025_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2023,2024,2024,2025,,EA1264,,EA,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Antlerless Elk,,,,,,Hunt: EA1264,,2024/.pdf/2024_PERMITS=2025_MODEL__ANTLERLESS DRAW RESULTS.pdf|2024/.pdf/2024_PERMITS=2025_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2023,2024,2024,2025,,EA1266,,EA,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Antlerless Elk,,,,,,Hunt: EA1266,,2024/.pdf/2024_PERMITS=2025_MODEL__ANTLERLESS DRAW RESULTS.pdf|2024/.pdf/2024_PERMITS=2025_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2023,2024,2024,2025,,EA1268,,EA,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Antlerless Elk,,,,,,Hunt: EA1268,,2024/.pdf/2024_PERMITS=2025_MODEL__ANTLERLESS DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2023,2024,2024,2025,,EA1269,,EA,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Antlerless Elk,,,,,,Hunt: EA1269,,2024/.pdf/2024_PERMITS=2025_MODEL__ANTLERLESS DRAW RESULTS.pdf|2024/.pdf/2024_PERMITS=2025_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2023,2024,2024,2025,,MB6209,,MB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bull Moose,,Ensign Ranches,,Any Legal Weapon,,Hunt: MB6209 Cwmu Bull Moose - Ensign Ranches - Any Legal Weapon,,2024/.pdf/2024_PERMITS=2025_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2024/.pdf/2024_PERMITS=2025_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
