from_report_year,to_report_year,from_model_year,to_model_year,from_hunt_code,to_hunt_code,from_prefix,to_prefix,compare_status,candidate_confidence,identity_score,from_species,to_species,from_unit_or_area,to_unit_or_area,from_weapon,to_weapon,from_title,to_title,from_source_files,to_source_files,recommended_next_action,notes
2024,2025,2025,2026,,BR7237,,BR,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Black Bear,,Monroe,,Any Legal Weapon,,Hunt: BR7237 Monroe - Any Legal Weapon,,2025/.pdf/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2024,2025,2025,2026,,BR7325,,BR,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Black Bear,,,,,,Hunt: BR7325 Chalk Creek/east Canyon/morgan-south Rich -An y Legal Weapon,,2025/.pdf/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2024,2025,2025,2026,,DB0008,,DB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Buck Deer,,Deer Extended Archery Only,,Archery,,Hunt: DB0008 Deer Extended Archery Only - Archery Page 1,,2025/.pdf/2025_PERMITS=2026_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf|2025/.pdf/2025_PERMITS=2026_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf|2025/.pdf/2025_PERMITS=2026_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2024,2025,2025,2026,,DB1009,,DB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Buck Deer,,Henry Mtns,,Any Legal Weapon,,Hunt: DB1009 Management Alw (rifle) Buck Deer - Henry Mtns - Any Legal Weapon Page 26,,2025/.pdf/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/.pdf/2025_PERMITS=2026_MODEL__L.E. DEER DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2024,2025,2025,2026,,DB1106,,DB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Buck Deer,,Limited-entry Restricted Archery Buck Deer,,Thousand Lakes,,Hunt: DB1106 Limited-entry Restricted Archery Buck Deer - Thousand Lakes Page 85,,2025/.pdf/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/.pdf/2025_PERMITS=2026_MODEL__L.E. DEER DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2024,2025,2025,2026,,DB1107,,DB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Buck Deer,,Limited-entry Restricted Muzzleloader Buck Deer,,Thousand Lakes,,Hunt: DB1107 Limited-entry Restricted Muzzleloader Buck Deer - Thousand Lakes Page 86,,2025/.pdf/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/.pdf/2025_PERMITS=2026_MODEL__L.E. DEER DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2024,2025,2025,2026,,DB1108,,DB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Buck Deer,,Limited-entry Restricted Rifle Buck Deer,,Thousand Lakes,,Hunt: DB1108 Limited-entry Restricted Rifle Buck Deer - Thousand Lakes Page 87,,2025/.pdf/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/.pdf/2025_PERMITS=2026_MODEL__L.E. DEER DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2024,2025,2025,2026,,DB1113,,DB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Buck Deer,,Oquirrh/tintic,,Muzzleloader,,Hunt: DB1113 Limited-entry Muzzleloader Buck Deer - Oquirrh/tintic - Muzzleloader Page 91,,2025/.pdf/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/.pdf/2025_PERMITS=2026_MODEL__L.E. DEER DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2024,2025,2025,2026,,DB1115,,DB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Buck Deer,,"Henry Mtns, Little Rockies",,Any Legal Weapon,,"Hunt: DB1115 Limited-entry Alw (rifle) Buck Deer - Henry Mtns, Little Rockies - Any Legal Weapon Page 93",,2025/.pdf/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/.pdf/2025_PERMITS=2026_MODEL__L.E. DEER DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2024,2025,2025,2026,,DB1116,,DB,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Buck Deer,,"San Juan, Mancos Mesa",,H.a.m.s.s.,,"Hunt: DB1116 Limited-entry Hamss Buck Deer - San Juan, Mancos Mesa - H.a.m.s.s. Page 94",,2025/.pdf/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/.pdf/2025_PERMITS=2026_MODEL__L.E. DEER DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
