report_year,draw_year,model_year,source_file,source_extension,source_location,source_label,source_family,hunt_code_raw,comparison_hunt_code,prefix,species_from_prefix,hunt_title_or_row_text,unit_or_area_inferred,weapon_or_last_segment_inferred,sex_type,hunt_type,weapon,resident_permits_drawn,nonresident_permits_drawn,total_permits_drawn,permit_parse_status,hunt_code_review_status,candidate_normalized_hunt_code,source_priority
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_2,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1001,DA1001,DA,Antlerless Deer,"Hunt: DA1001 Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only","Box Elder, West Bear River","Archery, Mzldr, Shotgn Only",Antlerless,Antlerless,"Archery, Mzldr, Shotgn Only",24,0,24,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_3,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1002,DA1002,DA,Antlerless Deer,"Hunt: DA1002 Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only","Box Elder, West Bear River","Archery, Mzldr, Shotgn Only",Antlerless,Antlerless,"Archery, Mzldr, Shotgn Only",24,0,24,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_4,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1003,DA1003,DA,Antlerless Deer,"Hunt: DA1003 Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only","Monroe/plateau, Sevier Valley","Archery, Mzldr, Shotgn Only",Antlerless,Antlerless,"Archery, Mzldr, Shotgn Only",11,1,12,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_5,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1009,DA1009,DA,Antlerless Deer,"Hunt: DA1009 Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon","Pine Valley, Enterprise",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,20,0,20,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_6,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1011,DA1011,DA,Antlerless Deer,Hunt: DA1011 Cwmu Antlerless Deer - George Creek - Any Legal Weapon,George Creek,Any Legal Weapon,Antlerless,CWMU,Any Legal Weapon,4,0,4,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_7,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1012,DA1012,DA,Antlerless Deer,Hunt: DA1012 Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,Junction Valley,Any Legal Weapon,Antlerless,CWMU,Any Legal Weapon,12,0,12,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_8,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1013,DA1013,DA,Antlerless Deer,Hunt: DA1013 Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,Mt Carmel,Any Legal Weapon,Antlerless,CWMU,Any Legal Weapon,4,0,4,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_9,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1018,DA1018,DA,Antlerless Deer,"Hunt: DA1018 Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only","Pine Valley, New Harmony","Archery, Mzldr, Shotgn Only",Antlerless,Antlerless,"Archery, Mzldr, Shotgn Only",15,1,16,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_10,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1027,DA1027,DA,Antlerless Deer,"Hunt: DA1027 Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon","East Canyon, Davis-north Salt Lake",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,24,0,24,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_11,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1030,DA1030,DA,Antlerless Deer,"Hunt: DA1030 Antlerless Deer - Nine Mile, Price River Valley - Archery","Nine Mile, Price River Valley",Archery,Antlerless,Antlerless,Archery,19,1,20,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2025,2025,2026,2025/.pdf/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_12,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1031,DA1031,DA,Antlerless Deer,"Hunt: DA1031 Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery","Oquirrh-stansbury, Settlement Cyn",Archery,Antlerless,Antlerless,Archery,16,0,16,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
