report_year,draw_year,model_year,source_file,source_extension,source_location,source_label,source_family,hunt_code_raw,comparison_hunt_code,prefix,species_from_prefix,hunt_title_or_row_text,unit_or_area_inferred,weapon_or_last_segment_inferred,hunt_code_review_status,candidate_normalized_hunt_code,source_priority
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_3,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1000,DA1000,DA,Antlerless Deer,"Hunt: DA1000 Antlerless Deer - Beaver, Circleville North - Any Legal Weapon","Beaver, Circleville North",Any Legal Weapon,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_4,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1001,DA1001,DA,Antlerless Deer,"Hunt: DA1001 Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only","Box Elder, West Bear River","Archery, Mzldr, Shotgn Only",AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_5,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1002,DA1002,DA,Antlerless Deer,"Hunt: DA1002 Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only","Box Elder, West Bear River","Archery, Mzldr, Shotgn Only",AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_6,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1003,DA1003,DA,Antlerless Deer,"Hunt: DA1003 Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only","Monroe/plateau, Sevier Valley","Archery, Mzldr, Shotgn Only",AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_7,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1004,DA1004,DA,Antlerless Deer,"Hunt: DA1004 Antlerless Deer - Mt Dutton, Circleville South - Any Legal Weapon","Mt Dutton, Circleville South",Any Legal Weapon,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_8,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1005,DA1005,DA,Antlerless Deer,"Hunt: DA1005 Antlerless Deer - North Slope, Manila-phil Pico -Archer y, Mzldr, Shotgn Only",Antlerless Deer,"North Slope, Manila-phil Pico -Archer y, Mzldr, Shotgn Only",AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_9,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1007,DA1007,DA,Antlerless Deer,"Hunt: DA1007 Antlerless Deer - Panguitch Lake, Panguitch Valley - Any Legal Weapon","Panguitch Lake, Panguitch Valley",Any Legal Weapon,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_10,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1009,DA1009,DA,Antlerless Deer,"Hunt: DA1009 Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon","Pine Valley, Enterprise",Any Legal Weapon,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_11,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1011,DA1011,DA,Antlerless Deer,Hunt: DA1011 Cwmu Antlerless Deer - George Creek - Any Legal Weapon,George Creek,Any Legal Weapon,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_12,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1012,DA1012,DA,Antlerless Deer,Hunt: DA1012 Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,Junction Valley,Any Legal Weapon,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_13,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1013,DA1013,DA,Antlerless Deer,Hunt: DA1013 Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,Mt Carmel,Any Legal Weapon,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2020,2020,2021,2020/.pdf/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_14,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1017,DA1017,DA,Antlerless Deer,"Hunt: DA1017 Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon","Pine Valley, Enterprise",Any Legal Weapon,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
