hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,has_permit_value,permit_count_status,hunt_code_mapping_status,boundary_id,boundary_id_mapping_status,source_role,source_file,source_row_number
BR7010,Panguitch Lake/Zion,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",9,0,9,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,462,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,22
BR7011,Paunsaugunt,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",4,0,4,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,163,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,23
BR7012,Boulder/Kaiparowits,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",20,2,22,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,455,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,24
BR7013,Fishlake/Thousand Lakes,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,175,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,25
BR7014,San Juan,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",35,3,38,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,710,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,26
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,444,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,27
BR7016,Wasatch Mtns West-Central,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",36,4,40,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,845,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,28
BR7017,Cache/Ogden,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",2,0,2,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,92,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,29
BR7018,Kamas/North Slope Summit,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",5,0,5,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,251,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,30
BR7020,Monroe,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",1,0,1,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,629,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,31
