hunt_code,hunt_name,species,usable_reviewed_source_count,usable_reviewed_value_source_count,usable_reviewed_unique_value_count,reviewed_consensus_res,reviewed_consensus_nr,reviewed_consensus_total,reviewed_consensus_source_count,reviewed_consensus_status,all_reviewed_values,usable_source_files,all_source_roles
BI1000,Bison - Statewide Permit,Bison,2,2,1,,,1,2,REVIEWED_CONSENSUS,//1:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6500,Antelope Island,Bison,2,2,1,2,0,2,2,REVIEWED_CONSENSUS,2/0/2:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6503,Henry Mtns,Bison,2,2,1,4,2,6,2,REVIEWED_CONSENSUS,4/2/6:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6504,Henry Mtns,Bison,2,2,1,5,2,7,2,REVIEWED_CONSENSUS,5/2/7:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6505,Henry Mtns,Bison,2,2,1,8,3,11,2,REVIEWED_CONSENSUS,8/3/11:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison cow only reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6506,Henry Mtns,Bison,2,2,1,11,0,11,2,REVIEWED_CONSENSUS,11/0/11:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison cow only reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6509,Henry Mtns,Bison,2,2,1,5,0,5,2,REVIEWED_CONSENSUS,5/0/5:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6516,Henry Mtns,Bison,2,2,1,6,0,6,2,REVIEWED_CONSENSUS,6/0/6:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6527,Nine Mile,Bison,2,0,0,,,,0,NO_REVIEWED_VALUE,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6528,"Book Cliffs, Little Creek/South",Bison,2,2,1,6,0,6,2,REVIEWED_CONSENSUS,6/0/6:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
