year,model_year,target,before_rows,after_rows,source,backup_path
2021,2022,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\draw_results_2021_for_2022_candidate_promotion_file_records.csv,67565,67565,draw_results_long.csv canonical slice,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\reconcile_finalized_vs_long_and_sync_2026\backups\draw_results_2021_for_2022_candidate.sync_2021_2022_yearl.20260619_032746.csv
2022,2023,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\draw_results_2022_for_2023_candidate_promotion_file_records.csv,69741,69741,draw_results_long.csv canonical slice,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\reconcile_finalized_vs_long_and_sync_2026\backups\draw_results_2022_for_2023_candidate.sync_2022_2023_yearl.20260619_032746.csv
