year,finalized_split_rows,draw_results_long_rows_before,finalized_unique_keys,long_unique_keys_before,shared_keys,only_in_finalized_keys,only_in_long_keys_before,reconciliation_read
2019,66945,66945,66945,66945,63950,2995,2995,MATCH
2020,66715,66715,66715,66715,63808,2907,2907,MATCH
2021,67565,67565,67565,67565,0,67565,67565,MATCH
2022,69741,69741,69741,69741,0,69741,69741,MATCH
2023,59870,71658,59870,71658,0,59870,71658,ROW_COUNT_DIFF
2024,61507,86659,61507,86659,0,61507,86659,ROW_COUNT_DIFF
2025,61100,75598,61100,75598,0,61100,75598,ROW_COUNT_DIFF
2026,27900,30298,27900,29770,0,27900,29770,ROW_COUNT_DIFF
