source_file,page,hunt_code,hunt_name,sections,rows,status
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,1,DB0007,Sportsman Buck Deer,2,2,OK
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,2,EB1000,Sportsman Bull Elk,2,2,OK
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,3,PB1000,Sportsman Buck Pronghorn,2,2,OK
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,4,MB1000,Sportsman Bull Moose,2,2,OK
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,5,BI1000,Sportsman Bison,2,2,OK
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,6,RS0001,Sportsman Rocky Mountain Bighorn Sheep,2,2,OK
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,7,DS1000,Sportsman Desert Bighorn Sheep,2,2,OK
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,8,GO1000,Sportsman Mountain Goat,2,2,OK
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,9,BR1000,Sportsman Black Bear,2,2,OK
2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,10,TK0001,Sportsman Bearded Turkey,2,2,OK
2026_PERMITS=2027_MODEL__TURKEY DRAW RESULTS.pdf,1,TKY,Turkey Bonus Point,4,46,OK
2026_PERMITS=2027_MODEL__TURKEY DRAW RESULTS.pdf,2,TK1003,Central Area,4,30,OK
2026_PERMITS=2027_MODEL__TURKEY DRAW RESULTS.pdf,3,TK1004,Northeastern Area,4,22,OK
2026_PERMITS=2027_MODEL__TURKEY DRAW RESULTS.pdf,4,TK1005,Northern Area,4,32,OK
2026_PERMITS=2027_MODEL__TURKEY DRAW RESULTS.pdf,5,TK1006,Southeastern Area,4,24,OK
2026_PERMITS=2027_MODEL__TURKEY DRAW RESULTS.pdf,6,TK1007,Southern Area,4,28,OK
2026_PERMITS=2027_MODEL__TURKEY DRAW RESULTS.pdf,7,TK1018,Pahvant Ensign,4,36,OK
2026_PERMITS=2027_MODEL__TURKEY DRAW RESULTS.pdf,8,TK1021,East Zion,4,34,OK
2026_PERMITS=2027_MODEL__YOUTH G.S. MATURE BULL ELK DRAW RESULTS.pdf,1,EB1007,Draw-only Youth Any Bull/Hunter's Choice Elk,2,2,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,1,BER,Bear Bonus Point,2,54,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,2,BR7000,Beaver,2,28,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,3,BR7001,"Book Cliffs, Bitter Creek/South",2,32,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,4,BR7003,"Manti, North",2,28,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,5,BR7004,"Manti, South/San Rafael, North",2,26,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,6,BR7005,Nebo,2,34,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,7,BR7007,"Fillmore, Pahvant",2,16,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,8,BR7009,Mt Dutton,2,18,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,9,BR7010,Panguitch Lake/Zion,2,26,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,10,BR7011,Paunsaugunt,2,18,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,11,BR7012,Boulder/Kaiparowits,2,22,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,12,BR7013,Fishlake/Thousand Lakes,2,26,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,13,BR7014,San Juan,2,36,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,14,BR7015,Diamond Mtn/Vernal/Bonanza,2,24,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,15,BR7016,"Wasatch Mtns, West-Central",2,34,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,16,BR7017,Cache/Ogden,2,24,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,17,BR7018,"Kamas/North Slope, Summit",2,22,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,18,BR7020,Monroe,2,14,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,19,BR7021,Dolores Triangle,2,16,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,20,BR7022,La Sal Mtns,2,40,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,21,BR7100,Beaver,2,38,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,22,BR7101,"Book Cliffs, Bitter Creek/South",2,28,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,23,BR7102,"Book Cliffs, Little Creek Roadless",2,24,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,24,BR7104,"Manti, North",2,32,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,25,BR7105,"Manti, South/San Rafael, North",2,34,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,26,BR7106,Nebo,2,38,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,27,BR7109,Mt Dutton,2,26,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,28,BR7110,Nine Mile,2,22,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,29,BR7111,"North Slope, Three Corners/West Daggett",2,24,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,30,BR7112,Panguitch Lake/Zion,2,24,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,31,BR7113,Paunsaugunt,2,34,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,32,BR7114,Boulder/Kaiparowits,2,24,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,33,BR7115,Fishlake/Thousand Lakes,2,36,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,34,BR7116,San Juan,2,44,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,35,BR7117,Diamond Mtn/Vernal/Bonanza,2,28,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,36,BR7118,Yellowstone,2,24,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,37,BR7119,"Wasatch Mtns, Avintaquin/Currant Creek",2,30,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,38,BR7120,"Wasatch Mtns, West-Central",2,32,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,39,BR7121,Cache/Ogden,2,32,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,40,BR7122,Chalk Creek/East Canyon/Morgan-South Rich,2,26,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,41,BR7123,"Kamas/North Slope, Summit",2,30,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,42,BR7124,"Fillmore, Pahvant",2,28,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,43,BR7125,Monroe,2,30,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,44,BR7126,Dolores Triangle,2,10,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,45,BR7127,La Sal Mtns,2,26,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,46,BR7200,Beaver,2,36,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,47,BR7201,"Book Cliffs, Bitter Creek/South",2,46,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,48,BR7203,"Manti, North",2,32,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,49,BR7204,"Manti, South/San Rafael, North",2,32,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,50,BR7205,Nebo,2,38,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,51,BR7207,"Fillmore, Pahvant",2,28,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,52,BR7210,Mt Dutton,2,16,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,53,BR7211,Nine Mile,2,14,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,54,BR7212,"North Slope, Three Corners/West Daggett",2,12,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,55,BR7213,Panguitch Lake/Zion,2,18,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,56,BR7214,Paunsaugunt,2,12,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,57,BR7215,Boulder/Kaiparowits,2,26,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,58,BR7216,Fishlake/Thousand Lakes,2,32,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,59,BR7217,San Juan,2,36,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,60,BR7218,Diamond Mtn/Vernal/Bonanza,2,28,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,61,BR7219,Yellowstone,2,14,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,62,BR7220,"Wasatch Mtns, Avintaquin/Currant Creek",2,34,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,63,BR7221,"Wasatch Mtns, West-Central",2,40,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,64,BR7224,"Book Cliffs, Little Creek Roadless",2,26,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,65,BR7225,"Book Cliffs, Little Creek Roadless",2,34,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,66,BR7228,Cache/Ogden,2,28,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,67,BR7229,"Kamas/North Slope, Summit",2,24,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,68,BR7238,Dolores Triangle,2,12,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,69,BR7239,La Sal Mtns,2,38,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,70,BR7300,"Book Cliffs, Bitter Creek/South",2,46,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,71,BR7301,"Book Cliffs, Little Creek Roadless",2,34,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,72,BR7303,"Manti, North",2,38,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,73,BR7304,"Manti, South/San Rafael, North",2,44,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,74,BR7305,Nebo,2,44,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,75,BR7308,"North Slope, Three Corners/West Daggett",2,36,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,76,BR7309,Panguitch Lake/Zion,2,36,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,77,BR7310,Boulder/Kaiparowits,2,38,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,78,BR7311,Fishlake/Thousand Lakes,2,36,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,79,BR7312,San Juan,2,44,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,80,BR7313,Diamond Mtn/Vernal/Bonanza,2,32,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,81,BR7314,Yellowstone,2,30,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,82,BR7315,"Wasatch Mtns, Avintaquin/Currant Creek",2,34,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,83,BR7316,"Wasatch Mtns, West-Central",2,42,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,84,BR7317,Nine Mile,2,30,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,85,BR7318,Beaver,2,40,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,86,BR7320,Cache/Ogden,2,38,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,87,BR7321,"Kamas/North Slope, Summit",2,38,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,88,BR7322,Mt Dutton,2,34,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,89,BR7323,Paunsaugunt,2,40,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,90,BR7325,Chalk Creek/East Canyon/Morgan-South Rich,2,38,OK
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,91,BR7326,La Sal Mtns,2,42,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,1,BPU,Bear Restricted Pursuit Bonus Point,2,18,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,2,BR1008,Book Cliffs,2,12,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,3,BR1009,La Sal,2,14,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,4,BR1010,San Juan,2,18,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,5,BR1011,Book Cliffs,2,12,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,6,BR1012,La Sal,2,18,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,7,BR1013,San Juan,2,14,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,8,BR1015,Book Cliffs,2,10,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,9,BR1016,San Juan,2,8,OK
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,10,BR1017,La Sal,2,10,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,1,DHL,Dedicated Hunter Preference Point,2,26,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,2,DB1770,Box Elder,4,6,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,3,DB1771,Cache,4,10,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,4,DB1772,Manti/San Rafael,4,16,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,5,DB1773,Nebo,4,12,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,6,DB1775,Fillmore,4,24,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,7,DB1777,Kamas,4,8,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,8,DB1778,"La Sal, La Sal Mtns",4,12,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,9,DB1779,Monroe,4,18,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,10,DB1780,Mt Dutton,4,26,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,11,DB1781,Nine Mile,4,10,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,12,DB1782,North Slope,4,12,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,13,DB1783,Ogden,4,8,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,14,DB1785,Panguitch Lake,4,20,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,15,DB1786,Pine Valley,4,28,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,16,DB1787,Boulder/Kaiparowits,4,16,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,17,DB1788,Fishlake,4,18,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,18,DB1790,"San Juan, Abajo Mtns",4,14,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,19,DB1791,Vernal/Bonanza,4,16,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,20,DB1792,Yellowstone,4,10,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,21,DB1793,Southwest Desert,4,16,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,22,DB1794,"Wasatch Mtns, East",4,14,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,23,DB1795,"Wasatch Mtns, West",4,10,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,24,DB1798,Zion,4,16,OK
