record_kind,source_dataset,actual_draw_year,year,model_target_year,source_file,source_pdf_page,source_report_title,source_report_family,hunt_code,hunt_name,raw_hunt_name,species,sex_type,hunt_type,hunt_class,weapon,residency,applicant_group,draw_pool,point_system,points,eligible_applicants,bonus_permits,regular_permits,total_permits,total_drawn,successful_applicants,success_ratio,success_ratio_text,p_draw,p_draw_percent,candidate_promotion_status,candidate_promotion_reason
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,1,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,DB0007,Sportsman Buck Deer,Sportsman Buck Deer,Deer,Sportsman,Sportsman,,,Resident,Adult,sportsman,Bonus,0,15826,0,1,1,1,1,0.0000631872,1 in 15826.0,0.0000631872,0.006319,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,1,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,DB0007,Sportsman Buck Deer,Sportsman Buck Deer,Deer,Sportsman,Sportsman,,,Nonresident,Adult,sportsman,Bonus,0,0,0,0,0,0,0,,N/A,,,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,2,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,EB1000,Sportsman Bull Elk,Sportsman Bull Elk,Elk,Sportsman,Sportsman,,,Resident,Adult,sportsman,Bonus,0,16001,0,1,1,1,1,0.0000624961,1 in 16001.0,0.0000624961,0.00625,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,2,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,EB1000,Sportsman Bull Elk,Sportsman Bull Elk,Elk,Sportsman,Sportsman,,,Nonresident,Adult,sportsman,Bonus,0,0,0,0,0,0,0,,N/A,,,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,3,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,PB1000,Sportsman Buck Pronghorn,Sportsman Buck Pronghorn,Pronghorn,Sportsman,Sportsman,,,Resident,Adult,sportsman,Bonus,0,6415,0,1,1,1,1,0.0001558846,1 in 6415.0,0.0001558846,0.015588,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,3,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,PB1000,Sportsman Buck Pronghorn,Sportsman Buck Pronghorn,Pronghorn,Sportsman,Sportsman,,,Nonresident,Adult,sportsman,Bonus,0,0,0,0,0,0,0,,N/A,,,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,4,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,MB1000,Sportsman Bull Moose,Sportsman Bull Moose,Moose,Sportsman,Sportsman,,,Resident,Adult,sportsman,Bonus,0,9193,0,1,1,1,1,0.0001087784,1 in 9193.0,0.0001087784,0.010878,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,4,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,MB1000,Sportsman Bull Moose,Sportsman Bull Moose,Moose,Sportsman,Sportsman,,,Nonresident,Adult,sportsman,Bonus,0,0,0,0,0,0,0,,N/A,,,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,5,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,BI1000,Sportsman Bison,Sportsman Bison,Bison,Sportsman,Sportsman,,,Resident,Adult,sportsman,Bonus,0,7893,0,1,1,1,1,0.0001266945,1 in 7893.0,0.0001266945,0.012669,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
SPORTSMAN_TOTAL,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,2026,2026,2027,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,5,2026 Sportsman Permit Draw Results,SPORTSMAN_RANDOM_ONLY,BI1000,Sportsman Bison,Sportsman Bison,Bison,Sportsman,Sportsman,,,Nonresident,Adult,sportsman,Bonus,0,0,0,0,0,0,0,,N/A,,,SEPARATE_LANE_REVIEW,Sportsman is random-only and must not route through normal bonus/preference scoring.
