source_report_family,rows,unique_hunt_codes
BLACK_BEAR,2752,91
BLACK_BEAR_RESTRICTED_PURSUIT,134,10
DEDICATED_HUNTER,456,32
GENERAL_SEASON_DEER,2606,107
LIMITED_ENTRY_DEER,6822,193
LIMITED_ENTRY_ELK,9628,210
LIMITED_ENTRY_PRONGHORN,2278,88
OIL_BISON,934,17
OIL_BULL_MOOSE,1582,27
OIL_DESERT_BIGHORN_SHEEP,1122,19
OIL_MTN_GOAT,890,18
OIL_ROCKY_MTN_SHEEP,820,16
SPORTSMAN_RANDOM_ONLY,20,10
TURKEY,252,8
YOUTH_GENERAL_SEASON_ELK,2,1
