bucket,rows,year_counts,unique_hunt_codes,blank_hunt_code,blank_source_year,cg9999_by_year,duplicate_strict_key_groups
master_before,429283,"{""2019"": 66945, ""2020"": 66715, ""2021"": 67565, ""2022"": 69741, ""2023"": 71658, ""2024"": 86659}",1327,0,0,"{""2023"": 1, ""2024"": 1}",0
retained_not_2024_2025,342624,"{""2019"": 66945, ""2020"": 66715, ""2021"": 67565, ""2022"": 69741, ""2023"": 71658}",1304,0,0,"{""2023"": 1}",0
current_2024_2025_replaced,86659,"{""2024"": 86659}",1028,0,0,"{""2024"": 1}",0
promoted_2024,86659,"{""2024"": 86659}",1028,0,0,"{""2024"": 1}",0
promoted_2025,75598,"{""2025"": 75598}",1064,0,0,"{""2025"": 1}",0
master_after,504881,"{""2019"": 66945, ""2020"": 66715, ""2021"": 67565, ""2022"": 69741, ""2023"": 71658, ""2024"": 86659, ""2025"": 75598}",1411,0,0,"{""2023"": 1, ""2024"": 1, ""2025"": 1}",0
