family,row_count
BLACK_BEAR,2702
BLACK_BEAR_RESTRICTED_PURSUIT,116
DEDICATED_HUNTER,434
GENERAL_SEASON_DEER,2555
LIMITED_ENTRY_DEER,6757
LIMITED_ENTRY_ELK,9561
LIMITED_ENTRY_PRONGHORN,2231
OIL_BISON,871
OIL_BULL_MOOSE,1516
OIL_DESERT_BIGHORN_SHEEP,1056
OIL_MTN_GOAT,830
OIL_ROCKY_MTN_SHEEP,762
POINT_PURCHASE_REFERENCE,672
SPORTSMAN_RANDOM_ONLY,20
TURKEY,213
YOUTH_GENERAL_SEASON_ELK,2
