hunt_code,species_family,hunt_name,source_row_count,source_file,crosswalk_found,crosswalk_match_kind,crosswalk_current_code,xwalk_relationship,xwalk_confidence,xwalk_method,xwalk_recommendation,crosswalk_status,crosswalk_source,crosswalk_notes,retired_in_2026,retired_reason_notes,triage_status,triage_notes,ready_to_address_action
BI6533,Bison,"Bison Muzzleloader (cow Only) - Book Cliffs, Little Creek/south - Muzzleloader 2023 Draw 5, Big Game Bonus Point Draw Results 05/31/2023",62,2023 ELK + OTHER BIG GAME.pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
CG1029,Cougar,20 19 18 17 16 15 13 14 12 11 9 10 9 20 20 23 23 32 37 112 7 6 5 4 3 2 1 0 0 0 0 1 0 1 3 3 11326 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 1 5 Resident A pplicants Non-Resident A pplicants 7 6 5 4 3 2 1 0 0N / A 2 0 1 0 0 1 1 10 1 in 10.0 N/A 1 in 23.0 N/A N/A 1 in 37.0 1 in 112.0 1 in 32.6 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 N/ A N/A N/A N/A N/A N/A N/A N/A 1 in 11.0 # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 98 100 08 0N / A 1 1 1 in 1.0 71 00 09 0N / A 0 0N / A 80 00 01 0 0N / A 0 0N / A 51 00 01 1 0N / A 0 0N / A Bonus Bonus 000 N / A 12 0000 N / A7 1 0 1 1 in 10.0 13 0000 N / A10 4 0 4 1 in 1.0 14 0000 N / A4 000 N / A 15 0000 N / A0 000 N / A 16 0000 N / A0 000 N / A 17 0000 N / A0 000 N / A 18 0000 N / A0 000 N / A 19 0000 N / A0 000 N / A 20 0000 N / A0,42,2023_cougar_odds_report(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
CG1034,Cougar,20 19 18 17 16 15 13 14 12 11 9 10 5 15 10 10 15 22 19 64 7 6 5 4 3 2 1 0 0 0 0 0 0 0 0 0 0183 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 Resident A pplicants Non-Resident A pplicants 7 6 5 4 3 2 1 0 0N / A 0 0 1 0 0 0 1 5 N/ A N/A 1 in 10.0 N/A N/A N/A 1 in 64.0 1 in 36.6 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 N/ A N/A N/A N/A N/A N/A N/A N/A N/A # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 68 000 08 0N / A 00 N / A 30 00 09 0N / A 0 0N / A 60 00 01 0 0N / A 0 0N / A 40 00 01 1 0N / A 0 0N / A Bonus Bonus 2 0 2 1 in 1.5 12 0000 N / A3 1 0 1 1 in 1.0 13 0000 N / A1 000 N / A 14 0000 N / A0 000 N / A 15 0000 N / A0 000 N / A 16 0000 N / A0 000 N / A 17 0000 N / A0 000 N / A 18 0000 N / A0 000 N / A 19 0000 N / A0 000 N / A 20 0000 N / A0,42,2023_cougar_odds_report(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
CG7502,Cougar,20 19 18 17 16 15 13 14 12 11 9 10 10 26 17 21 19 48 49 92 7 6 5 4 3 2 1 0 0 0 3 2 3 2 0 8 25316 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 0 0 6 Resident A pplicants Non-Resident A pplicants 7 6 5 4 3 2 1 0 0N / A 0 1 0 2 2 0 0 12 N/ A 1 in 17.0 N/A 1 in 9.5 1 in 24.0 N/A N/A 1 in 26.3 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 N/ A N/A N/A N/A N/A N/A N/A N/A 1 in 25.0 # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 148 100 08 0N / A 00 N / A 60 00 19 1 1 in 6.0 0 0 N/ A 31 00 01 0 0 N/A 1 1 1 in 1.0 72 20 01 1 2 1 in 3.5 0 0 N/ A Bonus Bonus 3 0 3 1 in 1.0 12 0000 N / A3 1 0 1 1 in 1.0 13 2000 N / A1 000 N / A 14 1000 N / A0 000 N / A 15 0000 N / A0 000 N / A 16 0000 N / A0 000 N / A 17 0000 N / A0 000 N / A 18 0000 N / A0 000 N / A 19 0000 N / A0 000 N / A 20 0000 N / A0,42,2023_cougar_odds_report(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
CG7506,Cougar,20 19 18 17 16 15 13 14 12 11 9 10 35 33 43 55 72 105 122 297 7 6 5 4 3 2 1 0 1 1 6 8 3 10 8 24 65851 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 1 1 7 Resident A pplicants Non-Resident A pplicants 7 6 5 4 3 2 1 0 1 1 in 35.0 0 0 1 2 0 1 1 14 N/ A N/A 1 in 55.0 1 in 36.0 N/A 1 in 122.0 1 in 297.0 1 in 60.8 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 N/ A N/A N/A N/A N/A N/A N/A 1 in 24.0 1 in 65.0 # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 288 100 18 1 1 in 28.0 00 N / A 23 1 00 09 0N / A 0 0N / A 12 1 00 01 0 0N / A 0 0N / A 90 00 01 1 0N / A 0 0N / A Bonus Bonus 000 N / A 12 0000 N / A7 5 0 5 1 in 1.6 13 1000 N / A8 2 0 2 1 in 1.0 14 0000 N / A2 000 N / A 15 0000 N / A0 000 N / A 16 0000 N / A0 000 N / A 17 0000 N / A0 000 N / A 18 0000 N / A0 000 N / A 19 0000 N / A0 000 N / A 20 0000 N / A0,42,2023_cougar_odds_report(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
CG7602,Cougar,20 19 18 17 16 15 13 14 12 11 9 10 5 5 9 7 19 12 28 89 7 6 5 4 3 2 1 0 0 0 0 3 1 2 4 7 17182 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 5 Resident A pplicants Non-Resident A pplicants 7 6 5 4 3 2 1 0 1 1 in 5.0 1 1 0 1 0 0 1 10 1 in 5.0 1 in 9.0 N/A 1 in 19.0 N/A N/A 1 in 89.0 1 in 18.2 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 N/ A N/A N/A 1 in 3.0 N/A N/A N/A N/A 1 in 17.0 # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 58 020 08 2 1 in 2.5 00 N / A 00 00 09 0N / A 0 0N / A 00 00 01 0 0N / A 0 0N / A 10 10 01 1 1 1 in 1.0 0 0 N/ A Bonus Bonus 2 0 2 1 in 1.0 12 0000 N / A2 000 N / A 13 0000 N / A0 000 N / A 14 0000 N / A0 000 N / A 15 0000 N / A0 000 N / A 16 0000 N / A0 000 N / A 17 0000 N / A0 000 N / A 18 0000 N / A0 000 N / A 19 0000 N / A0 000 N / A 20 0000 N / A0,42,2023_cougar_odds_report(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
CG7603,Cougar,20 19 18 17 16 15 13 14 12 11 9 10 11 8 22 17 16 23 28 70 7 6 5 4 3 2 1 0 0 0 0 0 0 0 0 0 0224 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 4 Resident A pplicants Non-Resident A pplicants 7 6 5 4 3 2 1 0 1 1 in 11.0 0 0 2 0 1 0 0 9 N/ A N/A 1 in 8.5 N/A 1 in 23.0 N/A N/A 1 in 24.9 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 N/ A N/A N/A N/A N/A N/A N/A N/A N/A # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 88 000 08 0N / A 00 N / A 10 0 00 09 0N / A 0 0N / A 50 00 01 0 0N / A 0 0N / A 50 40 01 1 4 1 in 1.3 0 0 N/ A Bonus Bonus 1 0 1 1 in 1.0 12 0000 N / A1 000 N / A 13 0000 N / A0 000 N / A 14 0000 N / A0 000 N / A 15 0000 N / A0 000 N / A 16 0000 N / A0 000 N / A 17 0000 N / A0 000 N / A 18 0000 N / A0 000 N / A 19 0000 N / A0 000 N / A 20 0000 N / A0,42,2023_cougar_odds_report(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
CG7605,Cougar,20 19 18 17 16 15 13 14 12 11 9 10 14 31 33 29 47 64 77 205 7 6 5 4 3 2 1 0 0 1 3 1 6 1 3 15 33525 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 1 0 4 1 1 0 0 7 Resident A pplicants Non-Resident A pplicants 7 6 5 4 3 2 1 0 0N / A 1 0 4 1 1 0 0 14 1 in 31.0 N/A 1 in 7.3 1 in 47.0 1 in 64.0 N/A N/A 1 in 37.5 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 N/ A N/A N/A N/A N/A N/A N/A N/A 1 in 33.0 # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 128 000 08 0N / A 00 N / A 80 20 09 2 1 in 4.0 0 0 N/ A 11 10 01 0 1 1 in 1.0 1 1 1 in 1.0 10 10 01 1 1 1 in 1.0 0 0 N/ A Bonus Bonus 1 0 1 1 in 1.0 12 1000 N / A1 1 0 1 1 in 1.0 13 0000 N / A1 000 N / A 14 0000 N / A0 1 0 1 1 in 1.0 15 0000 N / A1 000 N / A 16 0000 N / A0 000 N / A 17 0000 N / A0 000 N / A 18 1000 N / A0 000 N / A 19 0000 N / A0 000 N / A 20 0000 N / A0,42,2023_cougar_odds_report(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
CG7610,Cougar,20 19 18 17 16 15 13 14 12 11 9 10 2 3 2 5 3 10 8 26 7 6 5 4 3 2 1 0 0 0 0 0 0 0 0 0 063 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 Resident A pplicants Non-Resident A pplicants 7 6 5 4 3 2 1 0 0N / A 0 0 1 0 1 0 0 5 N/ A N/A 1 in 5.0 N/A 1 in 10.0 N/A N/A 1 in 12.6 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 N/ A N/A N/A N/A N/A N/A N/A N/A N/A # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 28 010 08 1 1 in 2.0 00 N / A 00 00 09 0N / A 0 0N / A 10 10 01 0 1 1 in 1.0 0 0 N/ A 00 00 01 1 0N / A 0 0N / A Bonus Bonus 000 N / A 12 0000 N / A0 000 N / A 13 0000 N / A0 000 N / A 14 0000 N / A0 1 0 1 1 in 1.0 15 0000 N / A1 000 N / A 16 0000 N / A0 000 N / A 17 0000 N / A0 000 N / A 18 0000 N / A0 000 N / A 19 0000 N / A0 000 N / A 20 0000 N / A0,42,2023_cougar_odds_report(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
CG7612,Cougar,20 19 18 17 16 15 13 14 12 11 9 10 12 20 23 37 39 48 49 114 7 6 5 4 3 2 1 0 1 6 5 2 4 3 11 21 56350 2 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 1 0 1 1 3 1 1 2 1 10 Resident A pplicants Non-Resident A pplicants 7 6 5 4 3 2 1 0 2 1 in 6.0 1 1 3 1 1 2 1 20 1 in 20.0 1 in 23.0 1 in 12.3 1 in 39.0 1 in 48.0 1 in 24.5 1 in 114.0 1 in 17.5 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 N/ A 1 in 6.0 N/A N/A N/A N/A N/A N/A 1 in 28.0 # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 18 110 08 1 1 in 1.0 00 N / A 40 40 09 4 1 in 1.0 0 0 N/ A 11 10 01 0 1 1 in 1.0 0 0 N/ A 10 10 01 1 1 1 in 1.0 0 0 N/ A Bonus Bonus 000 N / A 12 0000 N / A0 1 0 1 1 in 1.0 13 0000 N / A1 000 N / A 14 0000 N / A0 000 N / A 15 0000 N / A0 000 N / A 16 0000 N / A0 000 N / A 17 0000 N / A0 000 N / A 18 1 1 0 1 1 in 1.00 000 N / A 19 0000 N / A0 000 N / A 20 0000 N / A0,42,2023_cougar_odds_report(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
