dataset,summary_type,value,row_count
data_truth\finalized_point_distribution.csv,hunt_code_prefix_status,CURRENT_2026_CODE_CROSSWALKED_TO_HISTORICAL_PREFIX:EXACT_CODE_HISTORY:HIGH,4
data_truth\finalized_point_distribution.csv,hunt_code_prefix_status,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,664
data_truth\finalized_point_distribution.csv,hunt_code_prefix_status,UNCHANGED_2026_LEGACY_PREFIX,25554
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,BI,882
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,BR,2556
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,DB,7790
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,DS,1104
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,EB,8578
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,GO,870
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,MB,1556
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,PB,2066
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,RS,818
data_truth\finalized_point_distribution.csv,legacy_hunt_code_prefix,TK,2
data_truth\finalized_hunt_truth.csv,hunt_code_prefix_status,CURRENT_2026_CODE_CROSSWALKED_TO_HISTORICAL_PREFIX:EXACT_CODE_HISTORY:HIGH,4
data_truth\finalized_hunt_truth.csv,hunt_code_prefix_status,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,24
data_truth\finalized_hunt_truth.csv,hunt_code_prefix_status,UNCHANGED_2026_LEGACY_PREFIX,1650
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,BI,36
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,BR,204
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,DB,666
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,DS,40
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,EB,424
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,GO,38
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,MB,56
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,PB,178
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,RS,34
data_truth\finalized_hunt_truth.csv,legacy_hunt_code_prefix,TK,2
