dataset,year,model_year,hunt_code,legacy_hunt_code_prefix,hunt_code_prefix_status,hunt_name,residency,point_level,source_file,source_namespace
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Resident,31,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Nonresident,31,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Resident,30,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Nonresident,30,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Resident,29,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Nonresident,29,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Resident,28,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Nonresident,28,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Resident,27,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Nonresident,27,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Resident,26,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
data_truth\finalized_point_distribution.csv,2026,2027,BIS,BI,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,"Bison Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",Nonresident,26,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL
