year,title,url,official_basename
2021,Youth draw-only elk bonus point draw results,https://wildlife.utah.gov/pdf/bg/2021/21_youth_bull_elk.pdf,21_youth_bull_elk.pdf
2021,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2021/21_youth_deer.pdf,21_youth_deer.pdf
2021,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2021/21_bg-odds.pdf,21_bg-odds.pdf
2021,Antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2021/21_antlerless_drawing_odds_report.pdf,21_antlerless_drawing_odds_report.pdf
2021,Youth antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2021/21_youth_antlerless_drawing_odds_report.pdf,21_youth_antlerless_drawing_odds_report.pdf
2021,Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2021/21_dh_odds.pdf,21_dh_odds.pdf
2021,Youth Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2021/21_youth_dh_odds.pdf,21_youth_dh_odds.pdf
2021,Sportsman draw odds report,https://wildlife.utah.gov/pdf/bg/2021/21-22_sportsman_odds.pdf,21-22_sportsman_odds.pdf
2020,General-season buck deer draw results,https://wildlife.utah.gov/pdf/bg/2020/20_deer_odds.pdf,20_deer_odds.pdf
2020,Lifetime general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2020/20_lifetime_deer.pdf,20_lifetime_deer.pdf
2020,Youth draw-only elk bonus point draw results,https://wildlife.utah.gov/pdf/bg/2020/20_youth_bull_elk.pdf,20_youth_bull_elk.pdf
2020,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2020/20_youth_deer.pdf,20_youth_deer.pdf
2020,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2020/20_bg-odds.pdf,20_bg-odds.pdf
2020,Antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2020/20_antlerless_drawing_odds_report.pdf,20_antlerless_drawing_odds_report.pdf
2020,Youth antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2020/20_youth_antlerless_drawing_odds_report.pdf,20_youth_antlerless_drawing_odds_report.pdf
2020,Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2020/20_dh_odds.pdf,20_dh_odds.pdf
2020,Youth Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2020/20_youth_dh_odds.pdf,20_youth_dh_odds.pdf
2020,Sportsman draw odds report,https://wildlife.utah.gov/pdf/bg/2020/20-21_sportsman_odds.pdf,20-21_sportsman_odds.pdf
2019,2019-20 sportsman drawing odds report,https://wildlife.utah.gov/pdf/bg/2019/19-20_sportsman_odds.pdf,19-20_sportsman_odds.pdf
2019,2019 big game drawing odds report for limited-entry and once-in-a-lifetime,https://wildlife.utah.gov/pdf/bg/2019/19_bg-odds.pdf,19_bg-odds.pdf
2019,2019 general-season deer drawing odds report,https://wildlife.utah.gov/pdf/bg/2019/19_deer_odds.pdf,19_deer_odds.pdf
2019,2019 Dedicated Hunter drawing odds report,https://wildlife.utah.gov/pdf/bg/2019/19_dh_odds.pdf,19_dh_odds.pdf
2019,2019 lifetime general-season deer drawing odds report,https://wildlife.utah.gov/pdf/bg/2019/19_lifetime_deer.pdf,19_lifetime_deer.pdf
2019,2019 youth any bull elk drawing odds report,https://wildlife.utah.gov/pdf/bg/2019/19_youth_bull_elk.pdf,19_youth_bull_elk.pdf
2019,2019 youth Dedicated Hunter drawing odds report,https://wildlife.utah.gov/pdf/bg/2019/19_youth_dh_odds.pdf,19_youth_dh_odds.pdf
2019,2019 youth general-season deer drawing odds report,https://wildlife.utah.gov/pdf/bg/2019/19_youth_deer.pdf,19_youth_deer.pdf
2019,2019 antlerless drawing odds report,https://wildlife.utah.gov/pdf/bg/2019/19_antlerless_drawing_odds_report.pdf,19_antlerless_drawing_odds_report.pdf
2019,2019 youth antlerless drawing odds report,https://wildlife.utah.gov/pdf/bg/2019/19_youth_antlerless_drawing_odds_report.pdf,19_youth_antlerless_drawing_odds_report.pdf
