year,title,url,official_basename,download_path,http_status,content_type,size_bytes,sha256
2024,Lifetime general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2024/24_lifetime_deer.pdf,24_lifetime_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2024__24_lifetime_deer.pdf,200,application/pdf,437601,13c119ae2038952854ed61e70d204397869b3db13cf60a6a0b12adeb095154af
2024,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2024/24_youth_deer.pdf,24_youth_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2024__24_youth_deer.pdf,200,application/pdf,442269,1bc67dac4af0f8f846061689a9d66f48c0973d3da39a1417f215bacb30179c8c
2024,Youth draw-only elk bonus point draw results,https://wildlife.utah.gov/pdf/bg/2024/24_youth_elk.pdf,24_youth_elk.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2024__24_youth_elk.pdf,200,application/pdf,76091,d5b3ff4564427fe3461f5292ee0bbc533a436eb3930e7b4f825d717de2f6c504
2024,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2024/24_bg-odds.pdf,24_bg-odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2024__24_bg-odds.pdf,200,application/pdf,3110486,6c5f49d5c323d6ba65216b90ca49a4d98fc0b6d0d4153b20a25eea55183e14e4
2024,Antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2024/24_antlerless_drawing_odds_report.pdf,24_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2024__24_antlerless_drawing_odds_report.pdf,200,application/pdf,774859,2b1b19782089732b9cacc2fd9ce00e60e1093acda6f3ed70d29e8d6e3ae83b08
2024,Youth antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2024/24_youth_antlerless_drawing_odds_report.pdf,24_youth_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2024__24_youth_antlerless_drawing_odds_report.pdf,200,application/pdf,693897,448cf4dfbf7c7b3ca9de48b93f0e5758ccb022b356f759a48d47d8c692ab5d8a
2024,Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2024/24_dh_odds.pdf,24_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2024__24_dh_odds.pdf,200,application/pdf,201098,13aa1539a3d350bbaeb3012275dde5767bed69d5c4ad4e94e8cef57e021a2c7d
2024,Youth Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2024/24_youth_dh_odds.pdf,24_youth_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2024__24_youth_dh_odds.pdf,200,application/pdf,181643,99d15b1e0e99fa7e0b27622bbb80fb23e5480b98c4ec1bcd4a8deafd8ee44efa
2024,Sportsman draw odds report,https://wildlife.utah.gov/pdf/bg/2024/24-25_sportsman_odds.pdf,24-25_sportsman_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2024__24-25_sportsman_odds.pdf,200,application/pdf,113472,ba990d6d25d4a43267b36676db83600be0cbd8ab18b9be162ec340abc8263f80
2023,General-season deer draw results,https://wildlife.utah.gov/pdf/bg/2023/23_deer_odds.pdf,23_deer_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23_deer_odds.pdf,200,application/pdf,463470,3ef46bf75fb105f6deeb76f70ebfe9b911a868fec81dec0ad7947f4fab905896
2023,Lifetime general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2023/23_lifetime_deer.pdf,23_lifetime_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23_lifetime_deer.pdf,200,application/pdf,412919,3a6dbf9f7f3b1b8f995a2685521812027effc7a92067609311107e80d6933c19
2023,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2023/23_youth_deer.pdf,23_youth_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23_youth_deer.pdf,200,application/pdf,439421,5ad3362cc56651f423c09bb0454492a5a4c08ddd28aaa012ee2791451bd489f1
2023,Youth draw-only elk bonus point draw results,https://wildlife.utah.gov/pdf/bg/2023/23_youth_elk.pdf,23_youth_elk.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23_youth_elk.pdf,200,application/pdf,76712,6766808ae7fe09786635cdeac27cefecda216df0ec3a05cc22609f5d0ec3da5e
2023,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2023/23_bg-odds.pdf,23_bg-odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23_bg-odds.pdf,200,application/pdf,3041049,37a416f119c6cc24abbfd8ffc5c0bb65a9245212928033eaadf5b2dab93c3f51
2023,Antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2023/23_antlerless_drawing_odds_report.pdf,23_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23_antlerless_drawing_odds_report.pdf,200,application/pdf,770790,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f
2023,Youth antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2023/23_youth_antlerless_drawing_odds_report.pdf,23_youth_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23_youth_antlerless_drawing_odds_report.pdf,200,application/pdf,689163,adff51c9d620fd88c5bed4a1253293183db9563a2f292c3ec0bc9c0694218670
2023,Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2023/23_dh_odds.pdf,23_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23_dh_odds.pdf,200,application/pdf,179888,b11dc4329853871aa145b01db3c3843354796f0b7a9b82be84ece0cb0eeae68c
