file,row_number,hunt_code,field,old_value,new_value,reason
canonical_2026,29551,DA1001,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29551,DA1001,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29552,DA1002,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29552,DA1002,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29553,DA1003,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29553,DA1003,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29554,DA1009,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29554,DA1009,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29555,DA1011,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29555,DA1011,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29556,DA1012,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29556,DA1012,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29557,DA1013,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29557,DA1013,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29558,DA1018,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29558,DA1018,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29559,DA1027,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29559,DA1027,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29560,DA1030,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29560,DA1030,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29561,DA1031,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29561,DA1031,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29562,DA1033,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29562,DA1033,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29563,DA1041,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29563,DA1041,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29564,DA1042,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29564,DA1042,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29565,DA1045,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29565,DA1045,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29566,DA1046,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29566,DA1046,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29567,DA1047,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29567,DA1047,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29568,DA1048,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29568,DA1048,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29569,DA1049,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29569,DA1049,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29570,DA1050,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29570,DA1050,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29571,DA1051,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29571,DA1051,qa_status,LIVE_HUNT_PLANNER_2026_PERMIT_TABLE,quota_only_not_draw_result,make quota rows explicitly non-scorable for engine/feed routing
canonical_2026,29572,EA1007,algorithm_status,NON_SCORABLE_PERMIT_QUOTA_ROW_HUNT_PLANNER,NON_SCORABLE_QUOTA_ALLOTMENT,make quota rows explicitly non-scorable for engine/feed routing
