actual_draw_year,model_target_year,hunt_code,residency,points,record_type,source_file
2026,2027,DB1793,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1794,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1794,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1794,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1795,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1798,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1798,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1798,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1799,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1800,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1802,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1802,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1802,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1803,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB1805,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:Dedicated Hunter
2026,2027,DB0008,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB0008,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB0008,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1501,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1502,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1502,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1502,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1502,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1503,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1503,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1504,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1504,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1506,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1506,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1508,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1508,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1509,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1509,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1510,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
